Time                             R       Lat       Lon
2022-01-12/00:04:00          1.006    -76.99     278.6
2022-01-12/00:05:00          1.006    -76.91     279.2
2022-01-12/00:06:00          1.006    -76.83     279.8
2022-01-12/00:07:00          1.006    -76.75     280.4
2022-01-12/00:08:00          1.006    -76.68     281.0
2022-01-12/00:09:00          1.006    -76.60     281.6
2022-01-12/00:10:00          1.006    -76.52     282.2
2022-01-12/00:11:00          1.006    -76.44     282.8
2022-01-12/00:12:00          1.006    -76.36     283.4
2022-01-12/00:13:00          1.006    -76.28     284.0
2022-01-12/00:14:00          1.006    -76.20     284.6
2022-01-12/00:15:00          1.006    -76.12     285.2
2022-01-12/00:16:00          1.006    -76.04     285.8
2022-01-12/00:17:00          1.006    -75.96     286.4
2022-01-12/00:18:00          1.006    -75.88     286.9
2022-01-12/00:19:00          1.006    -75.80     287.5
2022-01-12/00:20:00          1.006    -75.72     288.1
2022-01-12/00:21:00          1.006    -75.64     288.6
2022-01-12/00:22:00          1.006    -75.56     289.2
2022-01-12/00:23:00          1.006    -75.48     289.8
2022-01-12/00:24:00          1.006    -75.40     290.3
2022-01-12/00:25:00          1.006    -75.32     290.9
2022-01-12/00:26:00          1.006    -75.24     291.4
2022-01-12/00:27:00          1.006    -75.16     292.0
2022-01-12/00:28:00          1.006    -75.08     292.5
2022-01-12/00:29:00          1.006    -75.00     293.1
2022-01-12/00:30:00          1.006    -74.92     293.6
2022-01-12/00:31:00          1.006    -74.84     294.2
2022-01-12/00:32:00          1.006    -74.76     294.7
2022-01-12/00:33:00          1.006    -74.68     295.3
2022-01-12/00:34:00          1.006    -74.61     295.8
2022-01-12/00:35:00          1.006    -74.53     296.3
2022-01-12/00:36:00          1.006    -74.45     296.9
2022-01-12/00:37:00          1.006    -74.37     297.4
2022-01-12/00:38:00          1.006    -74.29     297.9
2022-01-12/00:39:00          1.006    -74.21     298.5
2022-01-12/00:40:00          1.006    -74.14     299.0
2022-01-12/00:41:00          1.006    -74.06     299.5
2022-01-12/00:42:00          1.006    -73.98     300.0
2022-01-12/00:43:00          1.006    -73.90     300.6
2022-01-12/00:44:00          1.006    -73.83     301.1
2022-01-12/00:45:00          1.006    -73.75     301.6
2022-01-12/00:46:00          1.006    -73.67     302.1
2022-01-12/00:47:00          1.006    -73.60     302.6
2022-01-12/00:48:00          1.006    -73.52     303.1
2022-01-12/00:49:00          1.006    -73.45     303.7
2022-01-12/00:50:00          1.006    -73.37     304.2
2022-01-12/00:51:00          1.006    -73.30     304.7
2022-01-12/00:52:00          1.006    -73.22     305.2
2022-01-12/00:53:00          1.006    -73.15     305.7
2022-01-12/00:54:00          1.006    -73.07     306.2
2022-01-12/00:55:00          1.006    -73.00     306.7
2022-01-12/00:56:00          1.006    -72.93     307.2
2022-01-12/00:57:00          1.006    -72.85     307.7
2022-01-12/00:58:00          1.006    -72.78     308.2
2022-01-12/00:59:00          1.006    -72.71     308.7
2022-01-12/01:00:00          1.006    -72.63     309.2
2022-01-12/01:01:00          1.006    -72.56     309.7
2022-01-12/01:02:00          1.006    -72.49     310.2
2022-01-12/01:03:00          1.006    -72.42     310.7
2022-01-12/01:04:00          1.006    -72.35     311.2
2022-01-12/01:05:00          1.006    -72.28     311.7
2022-01-12/01:06:00          1.006    -72.21     312.2
2022-01-12/01:07:00          1.006    -72.14     312.7
2022-01-12/01:08:00          1.006    -72.07     313.2
2022-01-12/01:09:00          1.006    -72.00     313.7
2022-01-12/01:10:00          1.006    -71.93     314.2
2022-01-12/01:11:00          1.006    -71.86     314.7
2022-01-12/01:12:00          1.006    -71.79     315.2
2022-01-12/01:13:00          1.006    -71.72     315.7
2022-01-12/01:14:00          1.006    -71.65     316.2
2022-01-12/01:15:00          1.006    -71.58     316.7
2022-01-12/01:16:00          1.006    -71.52     317.2
2022-01-12/01:17:00          1.006    -71.45     317.7
2022-01-12/01:18:00          1.006    -71.38     318.2
2022-01-12/01:19:00          1.006    -71.31     318.7
2022-01-12/01:20:00          1.006    -71.25     319.2
2022-01-12/01:21:00          1.006    -71.18     319.7
2022-01-12/01:22:00          1.006    -71.11     320.2
2022-01-12/01:23:00          1.006    -71.05     320.7
2022-01-12/01:24:00          1.006    -70.98     321.2
2022-01-12/01:25:00          1.006    -70.92     321.7
2022-01-12/01:26:00          1.006    -70.85     322.2
2022-01-12/01:27:00          1.006    -70.79     322.6
2022-01-12/01:28:00          1.006    -70.72     323.1
2022-01-12/01:29:00          1.006    -70.66     323.6
2022-01-12/01:30:00          1.006    -70.59     324.1
2022-01-12/01:31:00          1.006    -70.53     324.6
2022-01-12/01:32:00          1.006    -70.47     325.1
2022-01-12/01:33:00          1.006    -70.40     325.6
2022-01-12/01:34:00          1.006    -70.34     326.1
2022-01-12/01:35:00          1.006    -70.28     326.6
2022-01-12/01:36:00          1.006    -70.21     327.1
2022-01-12/01:37:00          1.006    -70.15     327.6
2022-01-12/01:38:00          1.006    -70.09     328.1
2022-01-12/01:39:00          1.006    -70.03     328.6
2022-01-12/01:40:00          1.006    -69.96     329.0
2022-01-12/01:41:00          1.006    -69.90     329.5
2022-01-12/01:42:00          1.006    -69.84     330.0
2022-01-12/01:43:00          1.006    -69.78     330.5
2022-01-12/01:44:00          1.006    -69.72     331.0
2022-01-12/01:45:00          1.006    -69.66     331.5
2022-01-12/01:46:00          1.006    -69.60     332.0
2022-01-12/01:47:00          1.006    -69.54     332.5
2022-01-12/01:48:00          1.006    -69.48     333.0
2022-01-12/01:49:00          1.006    -69.42     333.5
2022-01-12/01:50:00          1.006    -69.36     334.0
2022-01-12/01:51:00          1.006    -69.30     334.4
2022-01-12/01:52:00          1.006    -69.24     334.9
2022-01-12/01:53:00          1.006    -69.18     335.4
2022-01-12/01:54:00          1.006    -69.12     335.9
2022-01-12/01:55:00          1.006    -69.06     336.4
2022-01-12/01:56:00          1.006    -69.00     336.9
2022-01-12/01:57:00          1.006    -68.94     337.4
2022-01-12/01:58:00          1.006    -68.89     337.9
2022-01-12/01:59:00          1.006    -68.83     338.4
2022-01-12/02:00:00          1.006    -68.77     338.9
2022-01-12/02:01:00          1.006    -68.71     339.3
2022-01-12/02:02:00          1.006    -68.65     339.8
2022-01-12/02:03:00          1.006    -68.60     340.3
2022-01-12/02:04:00          1.006    -68.54     340.8
2022-01-12/02:05:00          1.006    -68.48     341.3
2022-01-12/02:06:00          1.006    -68.43     341.8
2022-01-12/02:07:00          1.006    -68.37     342.3
2022-01-12/02:08:00          1.006    -68.31     342.8
2022-01-12/02:09:00          1.006    -68.26     343.3
2022-01-12/02:10:00          1.006    -68.20     343.8
2022-01-12/02:11:00          1.006    -68.15     344.2
2022-01-12/02:12:00          1.006    -68.09     344.7
2022-01-12/02:13:00          1.006    -68.04     345.2
2022-01-12/02:14:00          1.006    -67.98     345.7
2022-01-12/02:15:00          1.006    -67.93     346.2
2022-01-12/02:16:00          1.006    -67.87     346.7
2022-01-12/02:17:00          1.006    -67.82     347.2
2022-01-12/02:18:00          1.006    -67.77     347.7
2022-01-12/02:19:00          1.006    -67.71     348.2
2022-01-12/02:20:00          1.006    -67.66     348.7
2022-01-12/02:21:00          1.006    -67.60     349.2
2022-01-12/02:22:00          1.006    -67.55     349.6
2022-01-12/02:23:00          1.006    -67.50     350.1
2022-01-12/02:24:00          1.006    -67.45     350.6
2022-01-12/02:25:00          1.006    -67.39     351.1
2022-01-12/02:26:00          1.006    -67.34     351.6
2022-01-12/02:27:00          1.006    -67.29     352.1
2022-01-12/02:28:00          1.006    -67.24     352.6
2022-01-12/02:29:00          1.006    -67.18     353.1
2022-01-12/02:30:00          1.006    -67.13     353.6
2022-01-12/02:31:00          1.006    -67.08     354.1
2022-01-12/02:32:00          1.006    -67.03     354.6
2022-01-12/02:33:00          1.006    -66.98     355.1
2022-01-12/02:34:00          1.006    -66.93     355.6
2022-01-12/02:35:00          1.006    -66.88     356.0
2022-01-12/02:36:00          1.006    -66.83     356.5
2022-01-12/02:37:00          1.006    -66.78     357.0
2022-01-12/02:38:00          1.006    -66.73     357.5
2022-01-12/02:39:00          1.006    -66.68     358.0
2022-01-12/02:40:00          1.006    -66.63     358.5
2022-01-12/02:41:00          1.006    -66.58     359.0
2022-01-12/02:42:00          1.006    -66.53     359.5
2022-01-12/02:43:00          1.006    -66.48   0.01095
2022-01-12/02:44:00          1.006    -66.43    0.5078
2022-01-12/02:45:00          1.006    -66.38     1.005
2022-01-12/02:46:00          1.006    -66.33     1.503
2022-01-12/02:47:00          1.006    -66.29     2.000
2022-01-12/02:48:00          1.006    -66.24     2.499
2022-01-12/02:49:00          1.006    -66.19     2.998
2022-01-12/02:50:00          1.006    -66.14     3.497
2022-01-12/02:51:00          1.006    -66.10     3.996
2022-01-12/02:52:00          1.006    -66.05     4.497
2022-01-12/02:53:00          1.006    -66.00     4.997
2022-01-12/02:54:00          1.006    -65.95     5.498
2022-01-12/02:55:00          1.006    -65.91     6.000
2022-01-12/02:56:00          1.006    -65.86     6.502
2022-01-12/02:57:00          1.006    -65.81     7.004
2022-01-12/02:58:00          1.006    -65.77     7.508
