Time	R	Lat	Lon
2022-01-12/00:04:40			
2022-01-12/00:04:41			
2022-01-12/00:04:42			
2022-01-12/00:04:43			
2022-01-12/00:04:44			
2022-01-12/00:04:45			
2022-01-12/00:04:46			
2022-01-12/00:04:47			
2022-01-12/00:04:48			
2022-01-12/00:04:49			
2022-01-12/00:04:50			
2022-01-12/00:04:51			
2022-01-12/00:04:52			
2022-01-12/00:04:53			
2022-01-12/00:04:54			
2022-01-12/00:04:55			
2022-01-12/00:04:56			
2022-01-12/00:04:57			
2022-01-12/00:04:58			
2022-01-12/00:04:59			
2022-01-12/00:05:00	1.006	-76.91	279.2
2022-01-12/00:05:01	1.006	-76.90866666666666	279.21
2022-01-12/00:05:02	1.006	-76.90733333333333	279.21999999999997
2022-01-12/00:05:03	1.006	-76.90599999999999	279.23
2022-01-12/00:05:04	1.006	-76.90466666666666	279.24
2022-01-12/00:05:05	1.006	-76.90333333333334	279.25
2022-01-12/00:05:06	1.006	-76.902	279.26
2022-01-12/00:05:07	1.006	-76.90066666666667	279.27
2022-01-12/00:05:08	1.006	-76.89933333333333	279.28
2022-01-12/00:05:09	1.006	-76.898	279.28999999999996
2022-01-12/00:05:10	1.006	-76.89666666666666	279.3
2022-01-12/00:05:11	1.006	-76.89533333333333	279.31
2022-01-12/00:05:12	1.006	-76.89399999999999	279.32
2022-01-12/00:05:13	1.006	-76.89266666666667	279.33
2022-01-12/00:05:14	1.006	-76.89133333333334	279.34
2022-01-12/00:05:15	1.006	-76.89	279.35
2022-01-12/00:05:16	1.006	-76.88866666666667	279.36
2022-01-12/00:05:17	1.006	-76.88733333333333	279.37
2022-01-12/00:05:18	1.006	-76.886	279.38
2022-01-12/00:05:19	1.006	-76.88466666666666	279.39
2022-01-12/00:05:20	1.006	-76.88333333333333	279.4
2022-01-12/00:05:21	1.006	-76.88199999999999	279.40999999999997
2022-01-12/00:05:22	1.006	-76.88066666666667	279.42
2022-01-12/00:05:23	1.006	-76.87933333333334	279.43
2022-01-12/00:05:24	1.006	-76.878	279.44
2022-01-12/00:05:25	1.006	-76.87666666666667	279.45
2022-01-12/00:05:26	1.006	-76.87533333333333	279.46
2022-01-12/00:05:27	1.006	-76.874	279.47
2022-01-12/00:05:28	1.006	-76.87266666666666	279.48
2022-01-12/00:05:29	1.006	-76.87133333333333	279.49
2022-01-12/00:05:30	1.006	-76.87	279.5
2022-01-12/00:05:31	1.006	-76.86866666666667	279.51
2022-01-12/00:05:32	1.006	-76.86733333333333	279.52
2022-01-12/00:05:33	1.006	-76.866	279.53
2022-01-12/00:05:34	1.006	-76.86466666666666	279.54
2022-01-12/00:05:35	1.006	-76.86333333333333	279.55
2022-01-12/00:05:36	1.006	-76.862	279.56
2022-01-12/00:05:37	1.006	-76.86066666666666	279.57
