Time                             Char_E
2022-01-12/00:04:15           -NaN
2022-01-12/00:04:45           -NaN
2022-01-12/00:05:15           -NaN
2022-01-12/00:05:45           -NaN
2022-01-12/00:06:15           -NaN
2022-01-12/00:06:45           -NaN
2022-01-12/00:07:15           -NaN
2022-01-12/00:07:45           -NaN
2022-01-12/00:08:15           -NaN
2022-01-12/00:08:45           -NaN
2022-01-12/00:09:15           -NaN
2022-01-12/00:09:45           -NaN
2022-01-12/00:10:15           -NaN
2022-01-12/00:10:45           -NaN
2022-01-12/00:11:15           -NaN
2022-01-12/00:11:45           -NaN
2022-01-12/00:12:15           -NaN
2022-01-12/00:12:45           -NaN
2022-01-12/00:13:15           -NaN
2022-01-12/00:13:45           -NaN
2022-01-12/00:14:15           -NaN
2022-01-12/00:14:45           -NaN
2022-01-12/00:15:15           -NaN
2022-01-12/00:15:45           -NaN
2022-01-12/00:16:15           -NaN
2022-01-12/00:16:45           -NaN
2022-01-12/00:17:15           -NaN
2022-01-12/00:17:45           -NaN
2022-01-12/00:18:15           -NaN
2022-01-12/00:18:45           -NaN
2022-01-12/00:19:15           -NaN
2022-01-12/00:19:45           -NaN
2022-01-12/00:20:15           -NaN
2022-01-12/00:20:45           -NaN
2022-01-12/00:21:15           -NaN
2022-01-12/00:21:45           -NaN
2022-01-12/00:22:15           -NaN
2022-01-12/00:22:45           -NaN
2022-01-12/00:23:15           -NaN
2022-01-12/00:23:45           -NaN
2022-01-12/00:24:15           -NaN
2022-01-12/00:24:45           -NaN
2022-01-12/00:25:15           -NaN
2022-01-12/00:25:45           -NaN
2022-01-12/00:26:15           -NaN
2022-01-12/00:26:45           -NaN
2022-01-12/00:27:15           -NaN
2022-01-12/00:27:45           -NaN
2022-01-12/00:28:15           -NaN
2022-01-12/00:28:45           -NaN
2022-01-12/00:29:15           -NaN
2022-01-12/00:29:45           -NaN
2022-01-12/00:30:15           -NaN
2022-01-12/00:30:45           -NaN
2022-01-12/00:31:15           -NaN
2022-01-12/00:31:45           -NaN
2022-01-12/00:32:15           -NaN
2022-01-12/00:32:45           -NaN
2022-01-12/00:33:15           -NaN
2022-01-12/00:33:45           -NaN
2022-01-12/00:34:15           -NaN
2022-01-12/00:34:45           -NaN
2022-01-12/00:35:15           -NaN
2022-01-12/00:35:45           -NaN
2022-01-12/00:36:15           -NaN
2022-01-12/00:36:45           -NaN
2022-01-12/00:37:15           -NaN
2022-01-12/00:37:45           -NaN
2022-01-12/00:38:15           -NaN
2022-01-12/00:38:45           -NaN
2022-01-12/00:39:15           -NaN
2022-01-12/00:39:45           -NaN
2022-01-12/00:40:15           -NaN
2022-01-12/00:40:45           -NaN
2022-01-12/00:41:15           -NaN
2022-01-12/00:41:45           -NaN
2022-01-12/00:42:15           -NaN
2022-01-12/00:42:45           -NaN
2022-01-12/00:43:15           -NaN
2022-01-12/00:43:45           -NaN
2022-01-12/00:44:15           -NaN
2022-01-12/00:44:45           -NaN
2022-01-12/00:45:15           -NaN
2022-01-12/00:45:45           -NaN
2022-01-12/00:46:15           -NaN
2022-01-12/00:46:45           -NaN
2022-01-12/00:47:15          183.2
2022-01-12/00:47:45          175.1
2022-01-12/00:48:15          195.8
2022-01-12/00:48:45           -NaN
2022-01-12/00:49:15          176.8
2022-01-12/00:49:45          199.3
2022-01-12/00:50:15           -NaN
2022-01-12/00:50:45           -NaN
2022-01-12/00:51:15           -NaN
2022-01-12/00:51:45           -NaN
2022-01-12/00:52:15           -NaN
2022-01-12/00:52:45           -NaN
2022-01-12/00:53:15           -NaN
2022-01-12/00:53:45           -NaN
2022-01-12/00:54:15           -NaN
2022-01-12/00:54:45           -NaN
2022-01-12/00:55:15           -NaN
2022-01-12/00:55:45           -NaN
2022-01-12/00:56:15           -NaN
2022-01-12/00:56:45           -NaN
2022-01-12/00:57:15           -NaN
2022-01-12/00:57:45           -NaN
2022-01-12/00:58:15           -NaN
2022-01-12/00:58:45           -NaN
2022-01-12/00:59:15           -NaN
2022-01-12/00:59:45           -NaN
2022-01-12/01:00:15           -NaN
2022-01-12/01:00:45           -NaN
2022-01-12/01:01:15           -NaN
2022-01-12/01:01:45           -NaN
2022-01-12/01:02:15           -NaN
2022-01-12/01:02:45           -NaN
2022-01-12/01:03:15           -NaN
2022-01-12/01:03:45           -NaN
2022-01-12/01:04:15           -NaN
2022-01-12/01:04:45           -NaN
2022-01-12/01:05:15           -NaN
2022-01-12/01:05:45           -NaN
2022-01-12/01:06:15           -NaN
2022-01-12/01:06:45           -NaN
2022-01-12/01:07:15           -NaN
2022-01-12/01:07:45           -NaN
2022-01-12/01:08:15           -NaN
2022-01-12/01:08:45           -NaN
2022-01-12/01:09:15           -NaN
2022-01-12/01:09:45           -NaN
2022-01-12/01:10:15           -NaN
2022-01-12/01:10:45           -NaN
2022-01-12/01:11:15           -NaN
2022-01-12/01:11:45           -NaN
2022-01-12/01:12:15           -NaN
2022-01-12/01:12:45           -NaN
2022-01-12/01:13:15           -NaN
2022-01-12/01:13:45           -NaN
2022-01-12/01:14:15           -NaN
2022-01-12/01:14:45           -NaN
2022-01-12/01:15:15           -NaN
2022-01-12/01:15:45           -NaN
2022-01-12/01:16:15           -NaN
2022-01-12/01:16:45           -NaN
2022-01-12/01:17:15           -NaN
2022-01-12/01:17:45           -NaN
2022-01-12/01:18:15           -NaN
2022-01-12/01:18:45           -NaN
2022-01-12/01:19:15           -NaN
2022-01-12/01:19:45           -NaN
2022-01-12/01:20:15           -NaN
2022-01-12/01:20:45           -NaN
2022-01-12/01:21:15           -NaN
2022-01-12/01:21:45           -NaN
2022-01-12/01:22:15           -NaN
2022-01-12/01:22:45           -NaN
2022-01-12/01:23:15           -NaN
2022-01-12/01:23:45           -NaN
2022-01-12/01:24:15           -NaN
2022-01-12/01:24:45           -NaN
2022-01-12/01:25:15           -NaN
2022-01-12/01:25:45           -NaN
2022-01-12/01:26:15           -NaN
2022-01-12/01:26:45           -NaN
2022-01-12/01:27:15           -NaN
2022-01-12/01:27:45           -NaN
2022-01-12/01:28:15           -NaN
2022-01-12/01:28:45           -NaN
2022-01-12/01:29:15           -NaN
2022-01-12/01:29:45           -NaN
2022-01-12/01:30:15           -NaN
2022-01-12/01:30:45           -NaN
2022-01-12/01:31:15           -NaN
2022-01-12/01:31:45           -NaN
2022-01-12/01:32:15           -NaN
2022-01-12/01:32:45           -NaN
2022-01-12/01:33:15           -NaN
2022-01-12/01:33:45           -NaN
2022-01-12/01:34:15           -NaN
2022-01-12/01:34:45           -NaN
2022-01-12/01:35:15           -NaN
2022-01-12/01:35:45           -NaN
2022-01-12/01:36:15           -NaN
2022-01-12/01:36:45           -NaN
2022-01-12/01:37:15           -NaN
2022-01-12/01:37:45           -NaN
2022-01-12/01:38:15           -NaN
2022-01-12/01:38:45           -NaN
2022-01-12/01:39:15           -NaN
2022-01-12/01:39:45           -NaN
2022-01-12/01:40:15           -NaN
2022-01-12/01:40:45           -NaN
2022-01-12/01:41:15           -NaN
2022-01-12/01:41:45           -NaN
2022-01-12/01:42:15           -NaN
2022-01-12/01:42:45           -NaN
2022-01-12/01:43:15           -NaN
2022-01-12/01:43:45           -NaN
2022-01-12/01:44:15           -NaN
2022-01-12/01:44:45           -NaN
2022-01-12/01:45:15           -NaN
2022-01-12/01:45:45           -NaN
2022-01-12/01:46:15           -NaN
2022-01-12/01:46:45           -NaN
2022-01-12/01:47:15           -NaN
2022-01-12/01:47:45          133.6
2022-01-12/01:48:15          193.7
2022-01-12/01:48:45           -NaN
2022-01-12/01:49:15           -NaN
2022-01-12/01:49:45           -NaN
2022-01-12/01:50:15           -NaN
2022-01-12/01:50:45           -NaN
2022-01-12/01:51:15           -NaN
2022-01-12/01:51:45           -NaN
2022-01-12/01:52:15           -NaN
2022-01-12/01:52:45           -NaN
2022-01-12/01:53:15           -NaN
2022-01-12/01:53:45           -NaN
2022-01-12/01:54:15           -NaN
2022-01-12/01:54:45           -NaN
2022-01-12/01:55:15           -NaN
2022-01-12/01:55:45           -NaN
2022-01-12/01:56:15           -NaN
2022-01-12/01:56:45           -NaN
2022-01-12/01:57:15           -NaN
