                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      1.000e-05     2.000     0.000
2022-01-12/04:02:45      1.000e-05     5.000     0.000
2022-01-12/04:02:45      1.000e-05     8.000     0.000
2022-01-12/04:02:45      1.000e-05     11.00     0.000
2022-01-12/04:02:45      1.000e-05     14.00     0.000
2022-01-12/04:02:45      1.000e-05     17.00     0.000
2022-01-12/04:02:45      1.000e-05     20.00     0.000
2022-01-12/04:02:45      1.000e-05     23.00     0.000
2022-01-12/04:02:45      1.000e-05     26.00     0.000
2022-01-12/04:02:45      1.000e-05     29.00     0.000
2022-01-12/04:02:45      1.000e-05     32.00     0.000
2022-01-12/04:02:45      1.000e-05     35.00     0.000
2022-01-12/04:02:45      1.000e-05     38.00     0.000
2022-01-12/04:02:45      1.000e-05     41.00     0.000
2022-01-12/04:02:45      1.000e-05     44.00     0.000
2022-01-12/04:02:45      1.000e-05     47.00     0.000
2022-01-12/04:02:45      1.000e-05     50.00     0.000
2022-01-12/04:02:45      1.000e-05     52.00     0.000
2022-01-12/04:02:45      1.000e-05     54.00     0.000
2022-01-12/04:02:45      1.000e-05     56.00     0.000
2022-01-12/04:02:45      1.000e-05     58.00     0.000
2022-01-12/04:02:45      1.000e-05     60.00     0.000
2022-01-12/04:02:45      1.000e-05     62.00     0.000
2022-01-12/04:02:45      1.000e-05     64.00     0.000
2022-01-12/04:02:45      1.000e-05     66.00     0.000
2022-01-12/04:02:45      1.000e-05     68.00     0.000
2022-01-12/04:02:45      1.000e-05     70.00     0.000
2022-01-12/04:02:45      1.000e-05     72.00     0.000
2022-01-12/04:02:45      1.000e-05     74.00     0.000
2022-01-12/04:02:45      1.000e-05     76.00     0.000
2022-01-12/04:02:45      1.000e-05     78.00     0.000
2022-01-12/04:02:45      1.000e-05     80.00     0.000
2022-01-12/04:02:45      1.000e-05     82.00     0.000
2022-01-12/04:02:45      1.000e-05     84.00     0.000
2022-01-12/04:02:45      1.000e-05     85.00     0.000
2022-01-12/04:02:45      1.000e-05     86.00     0.000
2022-01-12/04:02:45      1.000e-05     87.00     0.000
2022-01-12/04:02:45      1.000e-05     88.00     0.000
2022-01-12/04:02:45      1.000e-05     89.00     0.000
2022-01-12/04:02:45      1.000e-05     89.50     0.000
2022-01-12/04:02:45      1.132e-05     2.000 6.789e-13
2022-01-12/04:02:45      1.132e-05     5.000 3.143e-12
2022-01-12/04:02:45      1.132e-05     8.000 3.947e-12
2022-01-12/04:02:45      1.132e-05     11.00 1.347e-12
2022-01-12/04:02:45      1.132e-05     14.00     0.000
2022-01-12/04:02:45      1.132e-05     17.00     0.000
2022-01-12/04:02:45      1.132e-05     20.00     0.000
2022-01-12/04:02:45      1.132e-05     23.00     0.000
2022-01-12/04:02:45      1.132e-05     26.00     0.000
2022-01-12/04:02:45      1.132e-05     29.00     0.000
2022-01-12/04:02:45      1.132e-05     32.00     0.000
2022-01-12/04:02:45      1.132e-05     35.00     0.000
2022-01-12/04:02:45      1.132e-05     38.00     0.000
2022-01-12/04:02:45      1.132e-05     41.00     0.000
2022-01-12/04:02:45      1.132e-05     44.00     0.000
2022-01-12/04:02:45      1.132e-05     47.00     0.000
2022-01-12/04:02:45      1.132e-05     50.00     0.000
2022-01-12/04:02:45      1.132e-05     52.00     0.000
2022-01-12/04:02:45      1.132e-05     54.00     0.000
2022-01-12/04:02:45      1.132e-05     56.00     0.000
2022-01-12/04:02:45      1.132e-05     58.00     0.000
2022-01-12/04:02:45      1.132e-05     60.00     0.000
2022-01-12/04:02:45      1.132e-05     62.00     0.000
2022-01-12/04:02:45      1.132e-05     64.00     0.000
2022-01-12/04:02:45      1.132e-05     66.00     0.000
2022-01-12/04:02:45      1.132e-05     68.00     0.000
2022-01-12/04:02:45      1.132e-05     70.00     0.000
2022-01-12/04:02:45      1.132e-05     72.00     0.000
2022-01-12/04:02:45      1.132e-05     74.00     0.000
2022-01-12/04:02:45      1.132e-05     76.00     0.000
2022-01-12/04:02:45      1.132e-05     78.00     0.000
2022-01-12/04:02:45      1.132e-05     80.00     0.000
2022-01-12/04:02:45      1.132e-05     82.00     0.000
2022-01-12/04:02:45      1.132e-05     84.00     0.000
2022-01-12/04:02:45      1.132e-05     85.00     0.000
2022-01-12/04:02:45      1.132e-05     86.00     0.000
2022-01-12/04:02:45      1.132e-05     87.00     0.000
2022-01-12/04:02:45      1.132e-05     88.00     0.000
2022-01-12/04:02:45      1.132e-05     89.00     0.000
2022-01-12/04:02:45      1.132e-05     89.50     0.000
2022-01-12/04:02:45      1.336e-05     2.000 1.348e-11
2022-01-12/04:02:45      1.336e-05     5.000 7.966e-11
2022-01-12/04:02:45      1.336e-05     8.000 1.806e-10
2022-01-12/04:02:45      1.336e-05     11.00 2.793e-10
2022-01-12/04:02:45      1.336e-05     14.00 3.333e-10
2022-01-12/04:02:45      1.336e-05     17.00 3.093e-10
2022-01-12/04:02:45      1.336e-05     20.00 2.058e-10
2022-01-12/04:02:45      1.336e-05     23.00 6.994e-11
2022-01-12/04:02:45      1.336e-05     26.00 5.396e-13
2022-01-12/04:02:45      1.336e-05     29.00     0.000
2022-01-12/04:02:45      1.336e-05     32.00     0.000
2022-01-12/04:02:45      1.336e-05     35.00     0.000
2022-01-12/04:02:45      1.336e-05     38.00     0.000
2022-01-12/04:02:45      1.336e-05     41.00     0.000
2022-01-12/04:02:45      1.336e-05     44.00     0.000
2022-01-12/04:02:45      1.336e-05     47.00     0.000
2022-01-12/04:02:45      1.336e-05     50.00     0.000
2022-01-12/04:02:45      1.336e-05     52.00     0.000
2022-01-12/04:02:45      1.336e-05     54.00     0.000
2022-01-12/04:02:45      1.336e-05     56.00     0.000
2022-01-12/04:02:45      1.336e-05     58.00     0.000
2022-01-12/04:02:45      1.336e-05     60.00     0.000
2022-01-12/04:02:45      1.336e-05     62.00     0.000
2022-01-12/04:02:45      1.336e-05     64.00     0.000
2022-01-12/04:02:45      1.336e-05     66.00     0.000
2022-01-12/04:02:45      1.336e-05     68.00     0.000
2022-01-12/04:02:45      1.336e-05     70.00     0.000
2022-01-12/04:02:45      1.336e-05     72.00     0.000
2022-01-12/04:02:45      1.336e-05     74.00     0.000
2022-01-12/04:02:45      1.336e-05     76.00     0.000
2022-01-12/04:02:45      1.336e-05     78.00     0.000
2022-01-12/04:02:45      1.336e-05     80.00     0.000
2022-01-12/04:02:45      1.336e-05     82.00     0.000
