time                             Energy            Daa
2022-01-12/01:26:15        0.03075     0.000
2022-01-12/01:26:15        0.03242     0.000
2022-01-12/01:26:15        0.04127     0.000
2022-01-12/01:26:15        0.05200     0.000
2022-01-12/01:26:15        0.06481     0.000
2022-01-12/01:26:15        0.08088     0.000
2022-01-12/01:26:15         0.1005     0.000
2022-01-12/01:26:15         0.1256     0.000
2022-01-12/01:26:15         0.1565     0.000
2022-01-12/01:26:15         0.1950 6.459e-10
2022-01-12/01:26:15         0.2432 1.026e-08
2022-01-12/01:26:15         0.3030 5.252e-08
2022-01-12/01:26:15         0.3776 1.157e-07
2022-01-12/01:26:15         0.4700 3.453e-07
2022-01-12/01:26:15         0.5855 2.032e-06
2022-01-12/01:26:15         0.7291 3.211e-06
2022-01-12/01:26:15         0.9078 3.494e-06
2022-01-12/01:26:15          1.129 3.309e-06
2022-01-12/01:26:15          1.406 2.809e-06
2022-01-12/01:26:15          1.751 2.196e-06
2022-01-12/01:26:15          2.180 7.421e-05
2022-01-12/01:26:15          2.715 0.0001884
2022-01-12/01:26:15          3.375 0.0001745
2022-01-12/01:26:15          4.202 0.0001389
2022-01-12/01:26:15          5.232 9.882e-05
2022-01-12/01:26:15          6.521 6.442e-05
2022-01-12/01:26:15          8.126 4.223e-05
2022-01-12/01:26:15          10.11 2.686e-05
2022-01-12/01:26:15          12.59 3.401e-05
2022-01-12/01:26:15          15.68 2.590e-05
2022-01-12/01:26:15          19.53 1.939e-05
2022-01-12/01:26:15          24.32 1.349e-05
2022-01-12/01:26:15          39.23 5.911e-06
2022-01-12/01:26:15          46.73 4.458e-06
2022-01-12/01:26:15          56.30 3.153e-06
2022-01-12/01:26:15          67.84 2.118e-06
2022-01-12/01:26:15          81.77 1.422e-06
2022-01-12/01:26:15          98.36 1.311e-06
2022-01-12/01:26:15          118.6 9.816e-07
2022-01-12/01:26:15          142.9 7.317e-07
2022-01-12/01:26:15          171.8 5.333e-07
2022-01-12/01:26:15          206.7 3.544e-07
2022-01-12/01:26:15          247.6 2.426e-07
