                    time         Energy            Daa
     2022-01-12/02:52:15 3.075e-05 6.988e-07
     2022-01-12/02:52:15 3.242e-05 7.175e-07
     2022-01-12/02:52:15 4.127e-05 8.095e-07
     2022-01-12/02:52:15 5.200e-05 9.088e-07
     2022-01-12/02:52:15 6.481e-05 1.014e-06
     2022-01-12/02:52:15 8.088e-05 1.133e-06
     2022-01-12/02:52:15 0.0001005 1.263e-06
     2022-01-12/02:52:15 0.0001256 1.412e-06
     2022-01-12/02:52:15 0.0001565 1.576e-06
     2022-01-12/02:52:15 0.0001950 1.759e-06
     2022-01-12/02:52:15 0.0002432 1.965e-06
     2022-01-12/02:52:15 0.0003030 2.193e-06
     2022-01-12/02:52:15 0.0003776 2.447e-06
     2022-01-12/02:52:15 0.0004700 2.730e-06
     2022-01-12/02:52:15 0.0005855 3.047e-06
     2022-01-12/02:52:15 0.0007291 3.399e-06
     2022-01-12/02:52:15 0.0009078 3.792e-06
     2022-01-12/02:52:15  0.001129 4.228e-06
     2022-01-12/02:52:15  0.001406 4.716e-06
     2022-01-12/02:52:15  0.001751 5.259e-06
     2022-01-12/02:52:15  0.002180 5.865e-06
     2022-01-12/02:52:15  0.002715 6.540e-06
     2022-01-12/02:52:15  0.003375 7.286e-06
     2022-01-12/02:52:15  0.004202 8.120e-06
     2022-01-12/02:52:15  0.005232 9.047e-06
     2022-01-12/02:52:15  0.006521 1.008e-05
     2022-01-12/02:52:15  0.008126 1.123e-05
     2022-01-12/02:52:15   0.01011 1.249e-05
     2022-01-12/02:52:15   0.01259 1.389e-05
     2022-01-12/02:52:15   0.01568 1.543e-05
     2022-01-12/02:52:15   0.01953 1.713e-05
     2022-01-12/02:52:15   0.02432 1.898e-05
     2022-01-12/02:52:15   0.03923 2.362e-05
     2022-01-12/02:52:15   0.04673 2.553e-05
     2022-01-12/02:52:15   0.05630 2.767e-05
     2022-01-12/02:52:15   0.06784 2.993e-05
     2022-01-12/02:52:15   0.08177 3.229e-05
     2022-01-12/02:52:15   0.09836 3.470e-05
     2022-01-12/02:52:15    0.1186 3.722e-05
     2022-01-12/02:52:15    0.1429 3.975e-05
     2022-01-12/02:52:15    0.1718 4.225e-05
     2022-01-12/02:52:15    0.2067 4.473e-05
     2022-01-12/02:52:15    0.2476 4.708e-05
     2022-01-12/02:52:15    0.2959 4.930e-05
     2022-01-12/02:52:15    0.3532 5.137e-05
     2022-01-12/02:52:15    0.4215 5.329e-05
     2022-01-12/02:52:15    0.5042 5.504e-05
     2022-01-12/02:52:15    0.6054 5.664e-05
     2022-01-12/02:52:15    0.7318 5.807e-05
     2022-01-12/02:52:15    0.9723 5.980e-05
     2022-01-12/02:52:45 3.075e-05 7.051e-07
     2022-01-12/02:52:45 3.242e-05 7.240e-07
     2022-01-12/02:52:45 4.127e-05 8.168e-07
     2022-01-12/02:52:45 5.200e-05 9.169e-07
     2022-01-12/02:52:45 6.481e-05 1.024e-06
     2022-01-12/02:52:45 8.088e-05 1.143e-06
     2022-01-12/02:52:45 0.0001005 1.275e-06
     2022-01-12/02:52:45 0.0001256 1.425e-06
     2022-01-12/02:52:45 0.0001565 1.590e-06
     2022-01-12/02:52:45 0.0001950 1.775e-06
     2022-01-12/02:52:45 0.0002432 1.982e-06
     2022-01-12/02:52:45 0.0003030 2.213e-06
     2022-01-12/02:52:45 0.0003776 2.469e-06
     2022-01-12/02:52:45 0.0004700 2.755e-06
     2022-01-12/02:52:45 0.0005855 3.074e-06
     2022-01-12/02:52:45 0.0007291 3.430e-06
     2022-01-12/02:52:45 0.0009078 3.826e-06
     2022-01-12/02:52:45  0.001129 4.266e-06
     2022-01-12/02:52:45  0.001406 4.758e-06
     2022-01-12/02:52:45  0.001751 5.307e-06
     2022-01-12/02:52:45  0.002180 5.918e-06
     2022-01-12/02:52:45  0.002715 6.599e-06
     2022-01-12/02:52:45  0.003375 7.351e-06
     2022-01-12/02:52:45  0.004202 8.192e-06
     2022-01-12/02:52:45  0.005232 9.128e-06
     2022-01-12/02:52:45  0.006521 1.017e-05
     2022-01-12/02:52:45  0.008126 1.133e-05
     2022-01-12/02:52:45   0.01011 1.260e-05
     2022-01-12/02:52:45   0.01259 1.401e-05
     2022-01-12/02:52:45   0.01568 1.557e-05
     2022-01-12/02:52:45   0.01953 1.728e-05
     2022-01-12/02:52:45   0.02432 1.915e-05
     2022-01-12/02:52:45   0.03923 2.384e-05
     2022-01-12/02:52:45   0.04673 2.575e-05
     2022-01-12/02:52:45   0.05630 2.791e-05
     2022-01-12/02:52:45   0.06784 3.019e-05
     2022-01-12/02:52:45   0.08177 3.257e-05
     2022-01-12/02:52:45   0.09836 3.501e-05
     2022-01-12/02:52:45    0.1186 3.755e-05
     2022-01-12/02:52:45    0.1429 4.010e-05
     2022-01-12/02:52:45    0.1718 4.263e-05
     2022-01-12/02:52:45    0.2067 4.513e-05
     2022-01-12/02:52:45    0.2476 4.750e-05
     2022-01-12/02:52:45    0.2959 4.974e-05
     2022-01-12/02:52:45    0.3532 5.183e-05
     2022-01-12/02:52:45    0.4215 5.377e-05
     2022-01-12/02:52:45    0.5042 5.554e-05
     2022-01-12/02:52:45    0.6054 5.715e-05
     2022-01-12/02:52:45    0.7318 5.859e-05
     2022-01-12/02:52:45    0.9723 6.034e-05
     2022-01-12/02:53:15 3.075e-05 7.056e-07
     2022-01-12/02:53:15 3.242e-05 7.245e-07
     2022-01-12/02:53:15 4.127e-05 8.174e-07
     2022-01-12/02:53:15 5.200e-05 9.176e-07
