Time                           Lat
2022-01-12/00:05:00         -65.61
2022-01-12/00:06:00         -65.58
2022-01-12/00:07:00         -65.55
2022-01-12/00:08:00         -65.53
2022-01-12/00:09:00         -65.50
2022-01-12/00:10:00         -65.48
2022-01-12/00:11:00         -65.45
2022-01-12/00:12:00         -65.42
2022-01-12/00:13:00         -65.40
2022-01-12/00:14:00         -65.37
2022-01-12/00:15:00         -65.35
2022-01-12/00:16:00         -65.32
2022-01-12/00:17:00         -65.30
2022-01-12/00:18:00         -65.27
2022-01-12/00:19:00         -65.25
2022-01-12/00:20:00         -65.22
2022-01-12/00:21:00         -65.20
2022-01-12/00:22:00         -65.17
2022-01-12/00:23:00         -65.15
2022-01-12/00:24:00         -65.12
2022-01-12/00:25:00         -65.09
2022-01-12/00:26:00         -65.07
2022-01-12/00:27:00         -65.04
2022-01-12/00:28:00         -65.02
2022-01-12/00:29:00         -64.99
2022-01-12/00:30:00         -64.97
2022-01-12/00:31:00         -64.94
2022-01-12/00:32:00         -64.92
2022-01-12/00:33:00         -64.89
2022-01-12/00:34:00         -64.86
2022-01-12/00:35:00         -64.84
2022-01-12/00:36:00         -64.81
2022-01-12/00:37:00         -64.78
2022-01-12/00:38:00         -64.76
2022-01-12/00:39:00         -64.73
2022-01-12/00:40:00         -64.70
2022-01-12/00:41:00         -64.68
2022-01-12/00:42:00         -64.65
2022-01-12/00:43:00         -64.62
2022-01-12/00:44:00         -64.60
2022-01-12/00:45:00         -64.57
2022-01-12/00:46:00         -64.54
2022-01-12/00:47:00         -64.51
2022-01-12/00:48:00         -64.48
2022-01-12/00:49:00         -64.45
2022-01-12/00:50:00         -64.43
2022-01-12/00:51:00         -64.40
2022-01-12/00:52:00         -64.37
2022-01-12/00:53:00         -64.34
2022-01-12/00:54:00         -64.31
2022-01-12/00:55:00         -64.28
2022-01-12/00:56:00         -64.25
2022-01-12/00:57:00         -64.22
2022-01-12/00:58:00         -64.19
2022-01-12/00:59:00         -64.16
2022-01-12/01:00:00         -64.13
2022-01-12/01:01:00         -64.10
2022-01-12/01:02:00         -64.07
2022-01-12/01:03:00         -64.04
2022-01-12/01:04:00         -64.01
2022-01-12/01:05:00         -63.98
2022-01-12/01:06:00         -63.95
2022-01-12/01:07:00         -63.93
2022-01-12/01:08:00         -63.90
2022-01-12/01:09:00         -63.87
2022-01-12/01:10:00         -63.84
2022-01-12/01:11:00         -63.81
2022-01-12/01:12:00         -63.78
2022-01-12/01:13:00         -63.75
2022-01-12/01:14:00         -63.72
2022-01-12/01:15:00         -63.70
2022-01-12/01:16:00         -63.67
2022-01-12/01:17:00         -63.64
2022-01-12/01:18:00         -63.62
2022-01-12/01:19:00         -63.59
2022-01-12/01:20:00         -63.57
2022-01-12/01:21:00         -63.54
2022-01-12/01:22:00         -63.52
2022-01-12/01:23:00         -63.49
2022-01-12/01:24:00         -63.47
2022-01-12/01:25:00         -63.45
2022-01-12/01:26:00         -63.42
2022-01-12/01:27:00         -63.40
2022-01-12/01:28:00         -63.38
2022-01-12/01:29:00         -63.36
2022-01-12/01:30:00         -63.34
2022-01-12/01:31:00         -63.32
2022-01-12/01:32:00         -63.31
2022-01-12/01:33:00         -63.29
2022-01-12/01:34:00         -63.27
2022-01-12/01:35:00         -63.26
2022-01-12/01:36:00         -63.24
2022-01-12/01:37:00         -63.23
2022-01-12/01:38:00         -63.22
2022-01-12/01:39:00         -63.20
2022-01-12/01:40:00         -63.19
2022-01-12/01:41:00         -63.18
2022-01-12/01:42:00         -63.17
2022-01-12/01:43:00         -63.16
2022-01-12/01:44:00         -63.16
2022-01-12/01:45:00         -63.15
2022-01-12/01:46:00         -63.15
2022-01-12/01:47:00         -63.14
2022-01-12/01:48:00         -63.14
2022-01-12/01:49:00         -63.14
2022-01-12/01:50:00         -63.13
2022-01-12/01:51:00         -63.13
2022-01-12/01:52:00         -63.13
2022-01-12/01:53:00         -63.14
