Time                           Lon
2022-01-12/00:05:00          15.04
2022-01-12/00:06:00          15.49
2022-01-12/00:07:00          15.95
2022-01-12/00:08:00          16.40
2022-01-12/00:09:00          16.85
2022-01-12/00:10:00          17.31
2022-01-12/00:11:00          17.76
2022-01-12/00:12:00          18.22
2022-01-12/00:13:00          18.67
2022-01-12/00:14:00          19.13
2022-01-12/00:15:00          19.59
2022-01-12/00:16:00          20.05
2022-01-12/00:17:00          20.50
2022-01-12/00:18:00          20.96
2022-01-12/00:19:00          21.42
2022-01-12/00:20:00          21.88
2022-01-12/00:21:00          22.34
2022-01-12/00:22:00          22.80
2022-01-12/00:23:00          23.26
2022-01-12/00:24:00          23.73
2022-01-12/00:25:00          24.19
2022-01-12/00:26:00          24.65
2022-01-12/00:27:00          25.11
2022-01-12/00:28:00          25.58
2022-01-12/00:29:00          26.04
2022-01-12/00:30:00          26.50
2022-01-12/00:31:00          26.97
2022-01-12/00:32:00          27.43
2022-01-12/00:33:00          27.90
2022-01-12/00:34:00          28.36
2022-01-12/00:35:00          28.83
2022-01-12/00:36:00          29.29
2022-01-12/00:37:00          29.76
2022-01-12/00:38:00          30.22
2022-01-12/00:39:00          30.69
2022-01-12/00:40:00          31.15
2022-01-12/00:41:00          31.61
2022-01-12/00:42:00          32.08
2022-01-12/00:43:00          32.54
2022-01-12/00:44:00          33.01
2022-01-12/00:45:00          33.47
2022-01-12/00:46:00          33.93
2022-01-12/00:47:00          34.39
2022-01-12/00:48:00          34.85
2022-01-12/00:49:00          35.31
2022-01-12/00:50:00          35.77
2022-01-12/00:51:00          36.23
2022-01-12/00:52:00          36.69
2022-01-12/00:53:00          37.14
2022-01-12/00:54:00          37.60
2022-01-12/00:55:00          38.05
2022-01-12/00:56:00          38.51
2022-01-12/00:57:00          38.96
2022-01-12/00:58:00          39.41
2022-01-12/00:59:00          39.86
2022-01-12/01:00:00          40.30
2022-01-12/01:01:00          40.75
2022-01-12/01:02:00          41.19
2022-01-12/01:03:00          41.64
2022-01-12/01:04:00          42.08
2022-01-12/01:05:00          42.51
2022-01-12/01:06:00          42.95
2022-01-12/01:07:00          43.38
2022-01-12/01:08:00          43.82
2022-01-12/01:09:00          44.25
2022-01-12/01:10:00          44.68
2022-01-12/01:11:00          45.10
2022-01-12/01:12:00          45.53
2022-01-12/01:13:00          45.95
2022-01-12/01:14:00          46.37
2022-01-12/01:15:00          46.79
2022-01-12/01:16:00          47.20
2022-01-12/01:17:00          47.62
2022-01-12/01:18:00          48.03
2022-01-12/01:19:00          48.44
2022-01-12/01:20:00          48.84
2022-01-12/01:21:00          49.25
2022-01-12/01:22:00          49.65
2022-01-12/01:23:00          50.05
2022-01-12/01:24:00          50.45
2022-01-12/01:25:00          50.84
2022-01-12/01:26:00          51.23
2022-01-12/01:27:00          51.63
2022-01-12/01:28:00          52.02
2022-01-12/01:29:00          52.40
2022-01-12/01:30:00          52.79
2022-01-12/01:31:00          53.17
2022-01-12/01:32:00          53.55
2022-01-12/01:33:00          53.93
2022-01-12/01:34:00          54.31
2022-01-12/01:35:00          54.68
2022-01-12/01:36:00          55.06
2022-01-12/01:37:00          55.43
2022-01-12/01:38:00          55.80
2022-01-12/01:39:00          56.17
2022-01-12/01:40:00          56.53
2022-01-12/01:41:00          56.90
2022-01-12/01:42:00          57.26
2022-01-12/01:43:00          57.62
2022-01-12/01:44:00          57.98
2022-01-12/01:45:00          58.34
2022-01-12/01:46:00          58.69
2022-01-12/01:47:00          59.05
2022-01-12/01:48:00          59.40
2022-01-12/01:49:00          59.76
2022-01-12/01:50:00          60.11
2022-01-12/01:51:00          60.46
2022-01-12/01:52:00          60.81
2022-01-12/01:53:00          61.15
2022-01-12/01:54:00          61.50
2022-01-12/01:55:00          61.85
2022-01-12/01:56:00          62.19
2022-01-12/01:57:00          62.53
2022-01-12/01:58:00          62.88
2022-01-12/01:59:00          63.22
2022-01-12/02:00:00          63.56
2022-01-12/02:01:00          63.90
2022-01-12/02:02:00          64.24
2022-01-12/02:03:00          64.58
2022-01-12/02:04:00          64.91
2022-01-12/02:05:00          65.25
2022-01-12/02:06:00          65.59
2022-01-12/02:07:00          65.92
2022-01-12/02:08:00          66.26
2022-01-12/02:09:00          66.59
2022-01-12/02:10:00          66.93
2022-01-12/02:11:00          67.26
2022-01-12/02:12:00          67.59
2022-01-12/02:13:00          67.93
2022-01-12/02:14:00          68.26
2022-01-12/02:15:00          68.59
2022-01-12/02:16:00          68.92
2022-01-12/02:17:00          69.25
2022-01-12/02:18:00          69.59
2022-01-12/02:19:00          69.92
2022-01-12/02:20:00          70.25
2022-01-12/02:21:00          70.58
2022-01-12/02:22:00          70.91
2022-01-12/02:23:00          71.24
2022-01-12/02:24:00          71.57
2022-01-12/02:25:00          71.90
2022-01-12/02:26:00          72.23
2022-01-12/02:27:00          72.56
2022-01-12/02:28:00          72.90
2022-01-12/02:29:00          73.23
2022-01-12/02:30:00          73.56
2022-01-12/02:31:00          73.89
2022-01-12/02:32:00          74.22
2022-01-12/02:33:00          74.55
2022-01-12/02:34:00          74.88
2022-01-12/02:35:00          75.22
2022-01-12/02:36:00          75.55
2022-01-12/02:37:00          75.88
2022-01-12/02:38:00          76.22
2022-01-12/02:39:00          76.55
2022-01-12/02:40:00          76.88
2022-01-12/02:41:00          77.22
2022-01-12/02:42:00          77.55
2022-01-12/02:43:00          77.89
2022-01-12/02:44:00          78.22
2022-01-12/02:45:00          78.56
2022-01-12/02:46:00          78.90
2022-01-12/02:47:00          79.23
2022-01-12/02:48:00          79.57
2022-01-12/02:49:00          79.91
2022-01-12/02:50:00          80.25
2022-01-12/02:51:00          80.59
2022-01-12/02:52:00          80.93
2022-01-12/02:53:00          81.27
2022-01-12/02:54:00          81.61
2022-01-12/02:55:00          81.96
2022-01-12/02:56:00          82.30
2022-01-12/02:57:00          82.64
2022-01-12/02:58:00          82.99
2022-01-12/02:59:00          83.33
2022-01-12/03:00:00          83.68
2022-01-12/03:01:00          84.03
2022-01-12/03:02:00          84.37
2022-01-12/03:03:00          84.72
2022-01-12/03:04:00          85.07
2022-01-12/03:05:00          85.42
2022-01-12/03:06:00          85.78
2022-01-12/03:07:00          86.13
2022-01-12/03:08:00          86.48
2022-01-12/03:09:00          86.84
2022-01-12/03:10:00          87.19
2022-01-12/03:11:00          87.55
2022-01-12/03:12:00          87.91
2022-01-12/03:13:00          88.27
2022-01-12/03:14:00          88.63
2022-01-12/03:15:00          88.99
2022-01-12/03:16:00          89.35
2022-01-12/03:17:00          89.71
2022-01-12/03:18:00          90.08
2022-01-12/03:19:00          90.45
2022-01-12/03:20:00          90.81
2022-01-12/03:21:00          91.18
2022-01-12/03:22:00          91.55
2022-01-12/03:23:00          91.93
2022-01-12/03:24:00          92.30
2022-01-12/03:25:00          92.68
2022-01-12/03:26:00          93.05
2022-01-12/03:27:00          93.43
2022-01-12/03:28:00          93.81
2022-01-12/03:29:00          94.19
2022-01-12/03:30:00          94.58
2022-01-12/03:31:00          94.96
2022-01-12/03:32:00          95.35
2022-01-12/03:33:00          95.74
2022-01-12/03:34:00          96.13
2022-01-12/03:35:00          96.53
2022-01-12/03:36:00          96.92
2022-01-12/03:37:00          97.32
2022-01-12/03:38:00          97.72
2022-01-12/03:39:00          98.12
2022-01-12/03:40:00          98.53
2022-01-12/03:41:00          98.94
2022-01-12/03:42:00          99.35
2022-01-12/03:43:00          99.76
2022-01-12/03:44:00          100.2
2022-01-12/03:45:00          100.6
2022-01-12/03:46:00          101.0
2022-01-12/03:47:00          101.4
2022-01-12/03:48:00          101.9
2022-01-12/03:49:00          102.3
2022-01-12/03:50:00          102.7
2022-01-12/03:51:00          103.2
2022-01-12/03:52:00          103.6
2022-01-12/03:53:00          104.0
2022-01-12/03:54:00          104.5
2022-01-12/03:55:00          104.9
2022-01-12/03:56:00          105.4
2022-01-12/03:57:00          105.8
2022-01-12/03:58:00          106.3
2022-01-12/03:59:00          106.8
2022-01-12/04:00:00          107.2
2022-01-12/04:01:00          107.7
2022-01-12/04:02:00          108.2
2022-01-12/04:03:00          108.6
2022-01-12/04:04:00          109.1
2022-01-12/04:05:00          109.6
2022-01-12/04:06:00          110.1
2022-01-12/04:07:00          110.6
2022-01-12/04:08:00          111.1
2022-01-12/04:09:00          111.6
2022-01-12/04:10:00          112.1
2022-01-12/04:11:00          112.6
2022-01-12/04:12:00          113.1
2022-01-12/04:13:00          113.6
2022-01-12/04:14:00          114.1
2022-01-12/04:15:00          114.6
2022-01-12/04:16:00          115.1
2022-01-12/04:17:00          115.6
2022-01-12/04:18:00          116.2
2022-01-12/04:19:00          116.7
2022-01-12/04:20:00          117.2
2022-01-12/04:21:00          117.8
2022-01-12/04:22:00          118.3
2022-01-12/04:23:00          118.8
2022-01-12/04:24:00          119.4
2022-01-12/04:25:00          119.9
2022-01-12/04:26:00          120.5
2022-01-12/04:27:00          121.0
2022-01-12/04:28:00          121.6
2022-01-12/04:29:00          122.2
2022-01-12/04:30:00          122.7
2022-01-12/04:31:00          123.3
