Time                           Lat
2022-01-12/00:05:00         -66.36
2022-01-12/00:06:00         -66.38
2022-01-12/00:07:00         -66.40
2022-01-12/00:08:00         -66.42
2022-01-12/00:09:00         -66.44
2022-01-12/00:10:00         -66.46
2022-01-12/00:11:00         -66.49
2022-01-12/00:12:00         -66.51
2022-01-12/00:13:00         -66.54
2022-01-12/00:14:00         -66.56
2022-01-12/00:15:00         -66.59
2022-01-12/00:16:00         -66.62
2022-01-12/00:17:00         -66.65
2022-01-12/00:18:00         -66.68
2022-01-12/00:19:00         -66.72
2022-01-12/00:20:00         -66.75
2022-01-12/00:21:00         -66.78
2022-01-12/00:22:00         -66.82
2022-01-12/00:23:00         -66.86
2022-01-12/00:24:00         -66.90
2022-01-12/00:25:00         -66.93
2022-01-12/00:26:00         -66.97
2022-01-12/00:27:00         -67.02
2022-01-12/00:28:00         -67.06
2022-01-12/00:29:00         -67.10
2022-01-12/00:30:00         -67.15
2022-01-12/00:31:00         -67.19
2022-01-12/00:32:00         -67.24
2022-01-12/00:33:00         -67.29
2022-01-12/00:34:00         -67.34
2022-01-12/00:35:00         -67.39
2022-01-12/00:36:00         -67.44
2022-01-12/00:37:00         -67.49
2022-01-12/00:38:00         -67.54
2022-01-12/00:39:00         -67.60
2022-01-12/00:40:00         -67.65
2022-01-12/00:41:00         -67.71
2022-01-12/00:42:00         -67.77
2022-01-12/00:43:00         -67.83
2022-01-12/00:44:00         -67.89
2022-01-12/00:45:00         -67.95
2022-01-12/00:46:00         -68.01
2022-01-12/00:47:00         -68.07
2022-01-12/00:48:00         -68.14
2022-01-12/00:49:00         -68.20
2022-01-12/00:50:00         -68.27
2022-01-12/00:51:00         -68.33
2022-01-12/00:52:00         -68.40
2022-01-12/00:53:00         -68.47
2022-01-12/00:54:00         -68.54
2022-01-12/00:55:00         -68.61
2022-01-12/00:56:00         -68.68
2022-01-12/00:57:00         -68.75
2022-01-12/00:58:00         -68.83
2022-01-12/00:59:00         -68.90
2022-01-12/01:00:00         -68.98
2022-01-12/01:01:00         -69.05
2022-01-12/01:02:00         -69.13
2022-01-12/01:03:00         -69.21
2022-01-12/01:04:00         -69.29
2022-01-12/01:05:00         -69.37
2022-01-12/01:06:00         -69.45
2022-01-12/01:07:00         -69.53
2022-01-12/01:08:00         -69.61
2022-01-12/01:09:00         -69.70
2022-01-12/01:10:00         -69.78
2022-01-12/01:11:00         -69.87
2022-01-12/01:12:00         -69.95
2022-01-12/01:13:00         -70.04
2022-01-12/01:14:00         -70.13
2022-01-12/01:15:00         -70.21
2022-01-12/01:16:00         -70.30
2022-01-12/01:17:00         -70.39
2022-01-12/01:18:00         -70.48
2022-01-12/01:19:00         -70.58
2022-01-12/01:20:00         -70.67
2022-01-12/01:21:00         -70.76
2022-01-12/01:22:00         -70.86
2022-01-12/01:23:00         -70.95
2022-01-12/01:24:00         -71.05
2022-01-12/01:25:00         -71.14
2022-01-12/01:26:00         -71.24
2022-01-12/01:27:00         -71.34
2022-01-12/01:28:00         -71.43
2022-01-12/01:29:00         -71.53
2022-01-12/01:30:00         -71.63
2022-01-12/01:31:00         -71.73
2022-01-12/01:32:00         -71.83
2022-01-12/01:33:00         -71.93
2022-01-12/01:34:00         -72.03
2022-01-12/01:35:00         -72.13
2022-01-12/01:36:00         -72.24
2022-01-12/01:37:00         -72.34
2022-01-12/01:38:00         -72.44
2022-01-12/01:39:00         -72.54
2022-01-12/01:40:00         -72.65
2022-01-12/01:41:00         -72.75
2022-01-12/01:42:00         -72.86
2022-01-12/01:43:00         -72.96
2022-01-12/01:44:00         -73.07
2022-01-12/01:45:00         -73.17
2022-01-12/01:46:00         -73.28
2022-01-12/01:47:00         -73.38
2022-01-12/01:48:00         -73.49
2022-01-12/01:49:00         -73.59
2022-01-12/01:50:00         -73.70
2022-01-12/01:51:00         -73.81
2022-01-12/01:52:00         -73.91
2022-01-12/01:53:00         -74.02
2022-01-12/01:54:00         -74.13
2022-01-12/01:55:00         -74.23
2022-01-12/01:56:00         -74.34
2022-01-12/01:57:00         -74.44
2022-01-12/01:58:00         -74.55
2022-01-12/01:59:00         -74.66
2022-01-12/02:00:00         -74.76
2022-01-12/02:01:00         -74.87
2022-01-12/02:02:00         -74.97
2022-01-12/02:03:00         -75.08
2022-01-12/02:04:00         -75.19
2022-01-12/02:05:00         -75.29
2022-01-12/02:06:00         -75.40
2022-01-12/02:07:00         -75.50
2022-01-12/02:08:00         -75.61
2022-01-12/02:09:00         -75.71
2022-01-12/02:10:00         -75.81
2022-01-12/02:11:00         -75.92
2022-01-12/02:12:00         -76.02
2022-01-12/02:13:00         -76.12
2022-01-12/02:14:00         -76.23
2022-01-12/02:15:00         -76.33
2022-01-12/02:16:00         -76.43
2022-01-12/02:17:00         -76.54
2022-01-12/02:18:00         -76.64
2022-01-12/02:19:00         -76.74
2022-01-12/02:20:00         -76.84
2022-01-12/02:21:00         -76.94
2022-01-12/02:22:00         -77.04
2022-01-12/02:23:00         -77.14
2022-01-12/02:24:00         -77.25
2022-01-12/02:25:00         -77.35
2022-01-12/02:26:00         -77.45
2022-01-12/02:27:00         -77.55
2022-01-12/02:28:00         -77.64
2022-01-12/02:29:00         -77.74
2022-01-12/02:30:00         -77.84
2022-01-12/02:31:00         -77.94
2022-01-12/02:32:00         -78.04
2022-01-12/02:33:00         -78.14
2022-01-12/02:34:00         -78.24
2022-01-12/02:35:00         -78.33
2022-01-12/02:36:00         -78.43
2022-01-12/02:37:00         -78.53
2022-01-12/02:38:00         -78.62
2022-01-12/02:39:00         -78.72
2022-01-12/02:40:00         -78.82
2022-01-12/02:41:00         -78.91
2022-01-12/02:42:00         -79.01
2022-01-12/02:43:00         -79.11
2022-01-12/02:44:00         -79.20
2022-01-12/02:45:00         -79.30
2022-01-12/02:46:00         -79.39
2022-01-12/02:47:00         -79.49
2022-01-12/02:48:00         -79.58
2022-01-12/02:49:00         -79.67
2022-01-12/02:50:00         -79.77
2022-01-12/02:51:00         -79.86
2022-01-12/02:52:00         -79.95
2022-01-12/02:53:00         -80.05
2022-01-12/02:54:00         -80.14
2022-01-12/02:55:00         -80.23
2022-01-12/02:56:00         -80.32
2022-01-12/02:57:00         -80.41
2022-01-12/02:58:00         -80.50
2022-01-12/02:59:00         -80.59
2022-01-12/03:00:00         -80.68
2022-01-12/03:01:00         -80.77
2022-01-12/03:02:00         -80.85
2022-01-12/03:03:00         -80.94
2022-01-12/03:04:00         -81.03
2022-01-12/03:05:00         -81.11
2022-01-12/03:06:00         -81.20
2022-01-12/03:07:00         -81.28
2022-01-12/03:08:00         -81.36
2022-01-12/03:09:00         -81.44
2022-01-12/03:10:00         -81.52
2022-01-12/03:11:00         -81.60
2022-01-12/03:12:00         -81.68
2022-01-12/03:13:00         -81.75
2022-01-12/03:14:00         -81.83
2022-01-12/03:15:00         -81.90
2022-01-12/03:16:00         -81.97
2022-01-12/03:17:00         -82.04
2022-01-12/03:18:00         -82.11
2022-01-12/03:19:00         -82.18
2022-01-12/03:20:00         -82.24
2022-01-12/03:21:00         -82.30
2022-01-12/03:22:00         -82.36
2022-01-12/03:23:00         -82.42
2022-01-12/03:24:00         -82.47
2022-01-12/03:25:00         -82.53
2022-01-12/03:26:00         -82.58
2022-01-12/03:27:00         -82.63
2022-01-12/03:28:00         -82.67
2022-01-12/03:29:00         -82.72
2022-01-12/03:30:00         -82.76
