Time                           Lon
2022-01-12/00:05:00          63.54
2022-01-12/00:06:00          63.88
2022-01-12/00:07:00          64.23
2022-01-12/00:08:00          64.58
2022-01-12/00:09:00          64.92
2022-01-12/00:10:00          65.27
2022-01-12/00:11:00          65.61
2022-01-12/00:12:00          65.95
2022-01-12/00:13:00          66.30
2022-01-12/00:14:00          66.64
2022-01-12/00:15:00          66.98
2022-01-12/00:16:00          67.32
2022-01-12/00:17:00          67.66
2022-01-12/00:18:00          68.00
2022-01-12/00:19:00          68.34
2022-01-12/00:20:00          68.69
2022-01-12/00:21:00          69.03
2022-01-12/00:22:00          69.36
2022-01-12/00:23:00          69.70
2022-01-12/00:24:00          70.04
2022-01-12/00:25:00          70.38
2022-01-12/00:26:00          70.72
2022-01-12/00:27:00          71.06
2022-01-12/00:28:00          71.40
2022-01-12/00:29:00          71.74
2022-01-12/00:30:00          72.08
2022-01-12/00:31:00          72.42
2022-01-12/00:32:00          72.76
2022-01-12/00:33:00          73.10
2022-01-12/00:34:00          73.44
2022-01-12/00:35:00          73.78
2022-01-12/00:36:00          74.12
2022-01-12/00:37:00          74.46
2022-01-12/00:38:00          74.80
2022-01-12/00:39:00          75.14
2022-01-12/00:40:00          75.49
2022-01-12/00:41:00          75.83
2022-01-12/00:42:00          76.17
2022-01-12/00:43:00          76.51
2022-01-12/00:44:00          76.86
2022-01-12/00:45:00          77.20
2022-01-12/00:46:00          77.55
2022-01-12/00:47:00          77.89
2022-01-12/00:48:00          78.24
2022-01-12/00:49:00          78.58
2022-01-12/00:50:00          78.93
2022-01-12/00:51:00          79.28
2022-01-12/00:52:00          79.63
2022-01-12/00:53:00          79.98
2022-01-12/00:54:00          80.33
2022-01-12/00:55:00          80.68
2022-01-12/00:56:00          81.03
2022-01-12/00:57:00          81.38
2022-01-12/00:58:00          81.74
2022-01-12/00:59:00          82.09
2022-01-12/01:00:00          82.45
2022-01-12/01:01:00          82.80
2022-01-12/01:02:00          83.16
2022-01-12/01:03:00          83.52
2022-01-12/01:04:00          83.88
2022-01-12/01:05:00          84.24
2022-01-12/01:06:00          84.60
2022-01-12/01:07:00          84.96
2022-01-12/01:08:00          85.33
2022-01-12/01:09:00          85.69
2022-01-12/01:10:00          86.06
2022-01-12/01:11:00          86.43
2022-01-12/01:12:00          86.80
2022-01-12/01:13:00          87.17
2022-01-12/01:14:00          87.54
2022-01-12/01:15:00          87.92
2022-01-12/01:16:00          88.29
2022-01-12/01:17:00          88.67
2022-01-12/01:18:00          89.05
2022-01-12/01:19:00          89.43
2022-01-12/01:20:00          89.81
2022-01-12/01:21:00          90.20
2022-01-12/01:22:00          90.58
2022-01-12/01:23:00          90.97
2022-01-12/01:24:00          91.36
2022-01-12/01:25:00          91.75
2022-01-12/01:26:00          92.15
2022-01-12/01:27:00          92.54
2022-01-12/01:28:00          92.94
2022-01-12/01:29:00          93.34
2022-01-12/01:30:00          93.75
2022-01-12/01:31:00          94.15
2022-01-12/01:32:00          94.56
2022-01-12/01:33:00          94.97
2022-01-12/01:34:00          95.38
2022-01-12/01:35:00          95.80
2022-01-12/01:36:00          96.21
2022-01-12/01:37:00          96.63
2022-01-12/01:38:00          97.06
2022-01-12/01:39:00          97.48
2022-01-12/01:40:00          97.91
2022-01-12/01:41:00          98.34
2022-01-12/01:42:00          98.78
2022-01-12/01:43:00          99.21
2022-01-12/01:44:00          99.65
2022-01-12/01:45:00          100.1
2022-01-12/01:46:00          100.5
2022-01-12/01:47:00          101.0
2022-01-12/01:48:00          101.4
2022-01-12/01:49:00          101.9
2022-01-12/01:50:00          102.4
2022-01-12/01:51:00          102.8
2022-01-12/01:52:00          103.3
2022-01-12/01:53:00          103.8
2022-01-12/01:54:00          104.2
2022-01-12/01:55:00          104.7
2022-01-12/01:56:00          105.2
2022-01-12/01:57:00          105.7
2022-01-12/01:58:00          106.1
2022-01-12/01:59:00          106.6
2022-01-12/02:00:00          107.1
