Time                           Lat
2022-01-12/00:05:00         -57.74
2022-01-12/00:06:00         -57.72
2022-01-12/00:07:00         -57.71
2022-01-12/00:08:00         -57.70
2022-01-12/00:09:00         -57.69
2022-01-12/00:10:00         -57.68
2022-01-12/00:11:00         -57.67
2022-01-12/00:12:00         -57.66
2022-01-12/00:13:00         -57.65
2022-01-12/00:14:00         -57.65
2022-01-12/00:15:00         -57.64
2022-01-12/00:16:00         -57.64
2022-01-12/00:17:00         -57.63
2022-01-12/00:18:00         -57.63
2022-01-12/00:19:00         -57.63
2022-01-12/00:20:00         -57.63
2022-01-12/00:21:00         -57.63
2022-01-12/00:22:00         -57.63
2022-01-12/00:23:00         -57.63
2022-01-12/00:24:00         -57.63
2022-01-12/00:25:00         -57.63
2022-01-12/00:26:00         -57.64
2022-01-12/00:27:00         -57.64
2022-01-12/00:28:00         -57.65
2022-01-12/00:29:00         -57.66
2022-01-12/00:30:00         -57.67
2022-01-12/00:31:00         -57.68
2022-01-12/00:32:00         -57.69
2022-01-12/00:33:00         -57.70
2022-01-12/00:34:00         -57.71
2022-01-12/00:35:00         -57.72
2022-01-12/00:36:00         -57.74
2022-01-12/00:37:00         -57.75
2022-01-12/00:38:00         -57.77
2022-01-12/00:39:00         -57.79
2022-01-12/00:40:00         -57.80
2022-01-12/00:41:00         -57.82
2022-01-12/00:42:00         -57.84
2022-01-12/00:43:00         -57.87
2022-01-12/00:44:00         -57.89
2022-01-12/00:45:00         -57.91
2022-01-12/00:46:00         -57.94
2022-01-12/00:47:00         -57.96
2022-01-12/00:48:00         -57.99
2022-01-12/00:49:00         -58.01
2022-01-12/00:50:00         -58.04
2022-01-12/00:51:00         -58.07
2022-01-12/00:52:00         -58.10
2022-01-12/00:53:00         -58.14
2022-01-12/00:54:00         -58.17
2022-01-12/00:55:00         -58.20
2022-01-12/00:56:00         -58.24
2022-01-12/00:57:00         -58.27
2022-01-12/00:58:00         -58.31
2022-01-12/00:59:00         -58.35
2022-01-12/01:00:00         -58.39
2022-01-12/01:01:00         -58.43
2022-01-12/01:02:00         -58.47
2022-01-12/01:03:00         -58.51
2022-01-12/01:04:00         -58.55
2022-01-12/01:05:00         -58.60
2022-01-12/01:06:00         -58.64
2022-01-12/01:07:00         -58.69
2022-01-12/01:08:00         -58.74
2022-01-12/01:09:00         -58.78
2022-01-12/01:10:00         -58.83
2022-01-12/01:11:00         -58.88
2022-01-12/01:12:00         -58.94
2022-01-12/01:13:00         -58.99
2022-01-12/01:14:00         -59.04
2022-01-12/01:15:00         -59.10
2022-01-12/01:16:00         -59.15
2022-01-12/01:17:00         -59.21
2022-01-12/01:18:00         -59.26
2022-01-12/01:19:00         -59.32
2022-01-12/01:20:00         -59.38
2022-01-12/01:21:00         -59.44
2022-01-12/01:22:00         -59.50
2022-01-12/01:23:00         -59.57
2022-01-12/01:24:00         -59.63
2022-01-12/01:25:00         -59.69
2022-01-12/01:26:00         -59.76
2022-01-12/01:27:00         -59.82
2022-01-12/01:28:00         -59.89
2022-01-12/01:29:00         -59.96
2022-01-12/01:30:00         -60.03
2022-01-12/01:31:00         -60.10
2022-01-12/01:32:00         -60.17
2022-01-12/01:33:00         -60.24
2022-01-12/01:34:00         -60.31
2022-01-12/01:35:00         -60.38
2022-01-12/01:36:00         -60.45
2022-01-12/01:37:00         -60.53
2022-01-12/01:38:00         -60.60
2022-01-12/01:39:00         -60.68
2022-01-12/01:40:00         -60.76
2022-01-12/01:41:00         -60.83
2022-01-12/01:42:00         -60.91
2022-01-12/01:43:00         -60.99
2022-01-12/01:44:00         -61.07
2022-01-12/01:45:00         -61.15
2022-01-12/01:46:00         -61.23
2022-01-12/01:47:00         -61.31
2022-01-12/01:48:00         -61.40
2022-01-12/01:49:00         -61.48
2022-01-12/01:50:00         -61.56
2022-01-12/01:51:00         -61.65
2022-01-12/01:52:00         -61.73
2022-01-12/01:53:00         -61.82
2022-01-12/01:54:00         -61.91
2022-01-12/01:55:00         -61.99
2022-01-12/01:56:00         -62.08
2022-01-12/01:57:00         -62.17
2022-01-12/01:58:00         -62.26
2022-01-12/01:59:00         -62.35
2022-01-12/02:00:00         -62.44
2022-01-12/02:01:00         -62.54
2022-01-12/02:02:00         -62.63
2022-01-12/02:03:00         -62.72
2022-01-12/02:04:00         -62.81
2022-01-12/02:05:00         -62.91
2022-01-12/02:06:00         -63.00
2022-01-12/02:07:00         -63.10
2022-01-12/02:08:00         -63.20
2022-01-12/02:09:00         -63.29
2022-01-12/02:10:00         -63.39
2022-01-12/02:11:00         -63.49
2022-01-12/02:12:00         -63.59
2022-01-12/02:13:00         -63.69
2022-01-12/02:14:00         -63.79
2022-01-12/02:15:00         -63.89
2022-01-12/02:16:00         -63.99
2022-01-12/02:17:00         -64.10
2022-01-12/02:18:00         -64.20
2022-01-12/02:19:00         -64.30
2022-01-12/02:20:00         -64.41
2022-01-12/02:21:00         -64.51
2022-01-12/02:22:00         -64.62
2022-01-12/02:23:00         -64.73
2022-01-12/02:24:00         -64.83
2022-01-12/02:25:00         -64.94
2022-01-12/02:26:00         -65.05
2022-01-12/02:27:00         -65.16
2022-01-12/02:28:00         -65.27
2022-01-12/02:29:00         -65.38
2022-01-12/02:30:00         -65.49
2022-01-12/02:31:00         -65.60
2022-01-12/02:32:00         -65.71
2022-01-12/02:33:00         -65.83
2022-01-12/02:34:00         -65.94
2022-01-12/02:35:00         -66.05
2022-01-12/02:36:00         -66.17
2022-01-12/02:37:00         -66.28
2022-01-12/02:38:00         -66.39
2022-01-12/02:39:00         -66.51
2022-01-12/02:40:00         -66.62
2022-01-12/02:41:00         -66.74
2022-01-12/02:42:00         -66.85
2022-01-12/02:43:00         -66.97
2022-01-12/02:44:00         -67.08
2022-01-12/02:45:00         -67.20
2022-01-12/02:46:00         -67.32
2022-01-12/02:47:00         -67.43
2022-01-12/02:48:00         -67.55
2022-01-12/02:49:00         -67.66
2022-01-12/02:50:00         -67.78
2022-01-12/02:51:00         -67.89
2022-01-12/02:52:00         -68.01
2022-01-12/02:53:00         -68.12
2022-01-12/02:54:00         -68.23
2022-01-12/02:55:00         -68.35
2022-01-12/02:56:00         -68.46
2022-01-12/02:57:00         -68.57
2022-01-12/02:58:00         -68.68
2022-01-12/02:59:00         -68.80
2022-01-12/03:00:00         -68.91
2022-01-12/03:01:00         -69.02
