Time                           Lon
2022-01-12/00:05:00          60.41
2022-01-12/00:06:00          60.73
2022-01-12/00:07:00          61.05
2022-01-12/00:08:00          61.37
2022-01-12/00:09:00          61.69
2022-01-12/00:10:00          62.01
2022-01-12/00:11:00          62.33
2022-01-12/00:12:00          62.64
2022-01-12/00:13:00          62.96
2022-01-12/00:14:00          63.27
2022-01-12/00:15:00          63.59
2022-01-12/00:16:00          63.90
2022-01-12/00:17:00          64.21
2022-01-12/00:18:00          64.52
2022-01-12/00:19:00          64.83
2022-01-12/00:20:00          65.14
2022-01-12/00:21:00          65.45
2022-01-12/00:22:00          65.76
2022-01-12/00:23:00          66.07
2022-01-12/00:24:00          66.37
2022-01-12/00:25:00          66.68
2022-01-12/00:26:00          66.98
2022-01-12/00:27:00          67.29
2022-01-12/00:28:00          67.59
2022-01-12/00:29:00          67.90
2022-01-12/00:30:00          68.20
2022-01-12/00:31:00          68.51
2022-01-12/00:32:00          68.81
2022-01-12/00:33:00          69.11
2022-01-12/00:34:00          69.41
2022-01-12/00:35:00          69.72
2022-01-12/00:36:00          70.02
2022-01-12/00:37:00          70.32
2022-01-12/00:38:00          70.62
2022-01-12/00:39:00          70.92
2022-01-12/00:40:00          71.22
2022-01-12/00:41:00          71.52
2022-01-12/00:42:00          71.82
2022-01-12/00:43:00          72.12
2022-01-12/00:44:00          72.42
2022-01-12/00:45:00          72.72
2022-01-12/00:46:00          73.02
2022-01-12/00:47:00          73.32
2022-01-12/00:48:00          73.62
2022-01-12/00:49:00          73.92
2022-01-12/00:50:00          74.22
2022-01-12/00:51:00          74.52
2022-01-12/00:52:00          74.82
2022-01-12/00:53:00          75.12
2022-01-12/00:54:00          75.42
2022-01-12/00:55:00          75.72
2022-01-12/00:56:00          76.02
2022-01-12/00:57:00          76.32
2022-01-12/00:58:00          76.62
2022-01-12/00:59:00          76.92
2022-01-12/01:00:00          77.22
2022-01-12/01:01:00          77.52
2022-01-12/01:02:00          77.82
2022-01-12/01:03:00          78.12
2022-01-12/01:04:00          78.42
2022-01-12/01:05:00          78.72
2022-01-12/01:06:00          79.03
2022-01-12/01:07:00          79.33
2022-01-12/01:08:00          79.63
2022-01-12/01:09:00          79.93
2022-01-12/01:10:00          80.24
2022-01-12/01:11:00          80.54
2022-01-12/01:12:00          80.84
2022-01-12/01:13:00          81.15
2022-01-12/01:14:00          81.45
2022-01-12/01:15:00          81.76
2022-01-12/01:16:00          82.07
2022-01-12/01:17:00          82.37
2022-01-12/01:18:00          82.68
2022-01-12/01:19:00          82.99
2022-01-12/01:20:00          83.30
2022-01-12/01:21:00          83.60
2022-01-12/01:22:00          83.91
2022-01-12/01:23:00          84.22
2022-01-12/01:24:00          84.53
2022-01-12/01:25:00          84.85
2022-01-12/01:26:00          85.16
2022-01-12/01:27:00          85.47
2022-01-12/01:28:00          85.78
2022-01-12/01:29:00          86.10
2022-01-12/01:30:00          86.41
2022-01-12/01:31:00          86.73
2022-01-12/01:32:00          87.04
2022-01-12/01:33:00          87.36
2022-01-12/01:34:00          87.68
2022-01-12/01:35:00          88.00
2022-01-12/01:36:00          88.32
2022-01-12/01:37:00          88.64
2022-01-12/01:38:00          88.96
2022-01-12/01:39:00          89.28
2022-01-12/01:40:00          89.60
2022-01-12/01:41:00          89.92
2022-01-12/01:42:00          90.25
2022-01-12/01:43:00          90.57
2022-01-12/01:44:00          90.90
2022-01-12/01:45:00          91.23
2022-01-12/01:46:00          91.55
2022-01-12/01:47:00          91.88
2022-01-12/01:48:00          92.21
2022-01-12/01:49:00          92.54
2022-01-12/01:50:00          92.87
2022-01-12/01:51:00          93.20
2022-01-12/01:52:00          93.54
2022-01-12/01:53:00          93.87
2022-01-12/01:54:00          94.21
2022-01-12/01:55:00          94.54
2022-01-12/01:56:00          94.88
2022-01-12/01:57:00          95.22
2022-01-12/01:58:00          95.56
2022-01-12/01:59:00          95.90
2022-01-12/02:00:00          96.24
2022-01-12/02:01:00          96.58
2022-01-12/02:02:00          96.92
2022-01-12/02:03:00          97.27
2022-01-12/02:04:00          97.61
2022-01-12/02:05:00          97.96
2022-01-12/02:06:00          98.31
2022-01-12/02:07:00          98.66
2022-01-12/02:08:00          99.01
2022-01-12/02:09:00          99.36
2022-01-12/02:10:00          99.72
2022-01-12/02:11:00          100.1
2022-01-12/02:12:00          100.4
2022-01-12/02:13:00          100.8
2022-01-12/02:14:00          101.1
2022-01-12/02:15:00          101.5
2022-01-12/02:16:00          101.9
2022-01-12/02:17:00          102.2
2022-01-12/02:18:00          102.6
2022-01-12/02:19:00          103.0
2022-01-12/02:20:00          103.3
2022-01-12/02:21:00          103.7
2022-01-12/02:22:00          104.1
2022-01-12/02:23:00          104.5
2022-01-12/02:24:00          104.8
2022-01-12/02:25:00          105.2
2022-01-12/02:26:00          105.6
2022-01-12/02:27:00          106.0
2022-01-12/02:28:00          106.4
2022-01-12/02:29:00          106.8
2022-01-12/02:30:00          107.1
2022-01-12/02:31:00          107.5
2022-01-12/02:32:00          107.9
2022-01-12/02:33:00          108.3
2022-01-12/02:34:00          108.7
2022-01-12/02:35:00          109.1
2022-01-12/02:36:00          109.5
2022-01-12/02:37:00          110.0
2022-01-12/02:38:00          110.4
2022-01-12/02:39:00          110.8
2022-01-12/02:40:00          111.2
2022-01-12/02:41:00          111.6
2022-01-12/02:42:00          112.0
2022-01-12/02:43:00          112.5
2022-01-12/02:44:00          112.9
2022-01-12/02:45:00          113.3
2022-01-12/02:46:00          113.8
2022-01-12/02:47:00          114.2
2022-01-12/02:48:00          114.7
2022-01-12/02:49:00          115.1
2022-01-12/02:50:00          115.6
2022-01-12/02:51:00          116.0
2022-01-12/02:52:00          116.5
2022-01-12/02:53:00          116.9
2022-01-12/02:54:00          117.4
2022-01-12/02:55:00          117.9
2022-01-12/02:56:00          118.3
2022-01-12/02:57:00          118.8
2022-01-12/02:58:00          119.3
2022-01-12/02:59:00          119.7
2022-01-12/03:00:00          120.2
2022-01-12/03:01:00          120.7
2022-01-12/03:02:00          121.2
2022-01-12/03:03:00          121.7
2022-01-12/03:04:00          122.2
2022-01-12/03:05:00          122.7
2022-01-12/03:06:00          123.2
2022-01-12/03:07:00          123.7
2022-01-12/03:08:00          124.2
2022-01-12/03:09:00          124.7
2022-01-12/03:10:00          125.2
2022-01-12/03:11:00          125.7
2022-01-12/03:12:00          126.2
2022-01-12/03:13:00          126.7
2022-01-12/03:14:00          127.2
2022-01-12/03:15:00          127.8
2022-01-12/03:16:00          128.3
2022-01-12/03:17:00          128.8
2022-01-12/03:18:00          129.3
2022-01-12/03:19:00          129.8
2022-01-12/03:20:00          130.4
2022-01-12/03:21:00          130.9
2022-01-12/03:22:00          131.4
2022-01-12/03:23:00          132.0
2022-01-12/03:24:00          132.5
2022-01-12/03:25:00          133.0
2022-01-12/03:26:00          133.6
2022-01-12/03:27:00          134.1
2022-01-12/03:28:00          134.7
2022-01-12/03:29:00          135.2
2022-01-12/03:30:00          135.7
2022-01-12/03:31:00          136.3
2022-01-12/03:32:00          136.8
2022-01-12/03:33:00          137.4
2022-01-12/03:34:00          137.9
2022-01-12/03:35:00          138.5
2022-01-12/03:36:00          139.0
2022-01-12/03:37:00          139.6
2022-01-12/03:38:00          140.2
2022-01-12/03:39:00          140.7
2022-01-12/03:40:00          141.3
2022-01-12/03:41:00          141.8
2022-01-12/03:42:00          142.4
2022-01-12/03:43:00          143.0
2022-01-12/03:44:00          143.6
2022-01-12/03:45:00          144.1
2022-01-12/03:46:00          144.7
2022-01-12/03:47:00          145.3
2022-01-12/03:48:00          145.9
2022-01-12/03:49:00          146.4
2022-01-12/03:50:00          147.0
2022-01-12/03:51:00          147.6
2022-01-12/03:52:00          148.2
2022-01-12/03:53:00          148.8
2022-01-12/03:54:00          149.4
2022-01-12/03:55:00          150.0
2022-01-12/03:56:00          150.6
2022-01-12/03:57:00          151.2
2022-01-12/03:58:00          151.8
2022-01-12/03:59:00          152.5
2022-01-12/04:00:00          153.1
2022-01-12/04:01:00          153.7
2022-01-12/04:02:00          154.3
2022-01-12/04:03:00          155.0
2022-01-12/04:04:00          155.6
2022-01-12/04:05:00          156.3
2022-01-12/04:06:00          156.9
2022-01-12/04:07:00          157.6
2022-01-12/04:08:00          158.2
2022-01-12/04:09:00          158.9
2022-01-12/04:10:00          159.6
2022-01-12/04:11:00          160.2
2022-01-12/04:12:00          160.9
2022-01-12/04:13:00          161.6
2022-01-12/04:14:00          162.3
2022-01-12/04:15:00          163.0
2022-01-12/04:16:00          163.7
2022-01-12/04:17:00          164.4
2022-01-12/04:18:00          165.1
2022-01-12/04:19:00          165.9
2022-01-12/04:20:00          166.6
2022-01-12/04:21:00          167.3
2022-01-12/04:22:00          168.1
2022-01-12/04:23:00          168.8
2022-01-12/04:24:00          169.6
2022-01-12/04:25:00          170.4
2022-01-12/04:26:00          171.1
2022-01-12/04:27:00          171.9
2022-01-12/04:28:00          172.7
2022-01-12/04:29:00          173.5
2022-01-12/04:30:00          174.3
2022-01-12/04:31:00          175.1
2022-01-12/04:32:00          175.9
2022-01-12/04:33:00          176.7
2022-01-12/04:34:00          177.5
2022-01-12/04:35:00          178.3
2022-01-12/04:36:00          179.1
2022-01-12/04:37:00          180.0
2022-01-12/04:38:00          180.8
2022-01-12/04:39:00          181.6
2022-01-12/04:40:00          182.5
2022-01-12/04:41:00          183.3
2022-01-12/04:42:00          184.2
2022-01-12/04:43:00          185.0
2022-01-12/04:44:00          185.8
2022-01-12/04:45:00          186.7
2022-01-12/04:46:00          187.5
2022-01-12/04:47:00          188.4
2022-01-12/04:48:00          189.2
2022-01-12/04:49:00          190.1
