Time                             Mshell         energy           flux
2022-01-12/00:04:15          12.01     30.75     0.000
2022-01-12/00:04:15          12.01     32.42     0.000
2022-01-12/00:04:15          12.01     41.27     0.000
2022-01-12/00:04:15          12.01     52.00     0.000
2022-01-12/00:04:15          12.01     64.81     0.000
2022-01-12/00:04:15          12.01     80.88     0.000
2022-01-12/00:04:15          12.01     100.5     0.000
2022-01-12/00:04:15          12.01     125.6     0.000
2022-01-12/00:04:15          12.01     156.5     0.000
2022-01-12/00:04:15          12.01     195.0     0.000
2022-01-12/00:04:15          12.01     243.2     0.000
2022-01-12/00:04:15          12.01     303.0     0.000
2022-01-12/00:04:15          12.01     377.6     0.000
2022-01-12/00:04:15          12.01     470.0     0.000
2022-01-12/00:04:15          12.01     585.5     0.000
2022-01-12/00:04:15          12.01     729.1     0.000
2022-01-12/00:04:15          12.01     907.8     0.000
2022-01-12/00:04:15          12.01     1129.     0.000
2022-01-12/00:04:15          12.01     1406.     0.000
2022-01-12/00:04:15          12.01     1751.     0.000
2022-01-12/00:04:15          12.01     2180.     0.000
2022-01-12/00:04:15          12.01     2715.     0.000
2022-01-12/00:04:15          12.01     3375.     0.000
2022-01-12/00:04:15          12.01     4202.     0.000
2022-01-12/00:04:15          12.01     5232.     0.000
2022-01-12/00:04:15          12.01     6521.     0.000
2022-01-12/00:04:15          12.01     8126.     0.000
2022-01-12/00:04:15          12.01 1.011e+04     0.000
2022-01-12/00:04:15          12.01 1.259e+04     0.000
2022-01-12/00:04:15          12.01 1.568e+04     0.000
2022-01-12/00:04:15          12.01 1.953e+04     0.000
2022-01-12/00:04:15          12.01 2.432e+04     0.000
2022-01-12/00:04:15          12.01 3.923e+04     0.000
2022-01-12/00:04:15          12.01 4.673e+04     0.000
2022-01-12/00:04:15          12.01 5.630e+04     0.000
2022-01-12/00:04:15          12.01 6.784e+04     0.000
2022-01-12/00:04:15          12.01 8.177e+04     0.000
2022-01-12/00:04:15          12.01 9.836e+04     0.000
2022-01-12/00:04:15          12.01 1.186e+05     0.000
2022-01-12/00:04:15          12.01 1.429e+05     0.000
2022-01-12/00:04:15          12.01 1.718e+05     0.000
2022-01-12/00:04:15          12.01 2.067e+05     0.000
2022-01-12/00:04:15          12.01 2.476e+05     0.000
2022-01-12/00:04:15          12.01 2.959e+05     0.000
2022-01-12/00:04:15          12.01 3.532e+05     0.000
2022-01-12/00:04:15          12.01 4.215e+05     0.000
2022-01-12/00:04:15          12.01 5.042e+05     0.000
2022-01-12/00:04:15          12.01 6.054e+05     0.000
2022-01-12/00:04:15          12.01 7.318e+05     0.000
2022-01-12/00:04:15          12.01 9.723e+05     0.000
2022-01-12/00:04:45          12.00     30.75     0.000
2022-01-12/00:04:45          12.00     32.42     0.000
2022-01-12/00:04:45          12.00     41.27     0.000
2022-01-12/00:04:45          12.00     52.00     0.000
2022-01-12/00:04:45          12.00     64.81     0.000
2022-01-12/00:04:45          12.00     80.88     0.000
2022-01-12/00:04:45          12.00     100.5     0.000
2022-01-12/00:04:45          12.00     125.6     0.000
2022-01-12/00:04:45          12.00     156.5     0.000
2022-01-12/00:04:45          12.00     195.0     0.000
2022-01-12/00:04:45          12.00     243.2     0.000
2022-01-12/00:04:45          12.00     303.0     0.000
2022-01-12/00:04:45          12.00     377.6     0.000
2022-01-12/00:04:45          12.00     470.0     0.000
2022-01-12/00:04:45          12.00     585.5     0.000
2022-01-12/00:04:45          12.00     729.1     0.000
2022-01-12/00:04:45          12.00     907.8     0.000
2022-01-12/00:04:45          12.00     1129.     0.000
2022-01-12/00:04:45          12.00     1406.     0.000
2022-01-12/00:04:45          12.00     1751.     0.000
2022-01-12/00:04:45          12.00     2180.     0.000
2022-01-12/00:04:45          12.00     2715.     0.000
2022-01-12/00:04:45          12.00     3375.     0.000
2022-01-12/00:04:45          12.00     4202.     0.000
2022-01-12/00:04:45          12.00     5232.     0.000
2022-01-12/00:04:45          12.00     6521.     0.000
2022-01-12/00:04:45          12.00     8126.     0.000
2022-01-12/00:04:45          12.00 1.011e+04     0.000
2022-01-12/00:04:45          12.00 1.259e+04     0.000
2022-01-12/00:04:45          12.00 1.568e+04     0.000
2022-01-12/00:04:45          12.00 1.953e+04     0.000
2022-01-12/00:04:45          12.00 2.432e+04     0.000
2022-01-12/00:04:45          12.00 3.923e+04     0.000
2022-01-12/00:04:45          12.00 4.673e+04     0.000
2022-01-12/00:04:45          12.00 5.630e+04     0.000
