Time                          Flux_prec         Char_E
2022-01-12/00:45:15          0.000      -NaN
2022-01-12/00:45:45          1.025     16.89
2022-01-12/00:46:15          0.000      -NaN
2022-01-12/00:46:45          0.000      -NaN
2022-01-12/00:47:15          0.000      -NaN
2022-01-12/00:47:45          0.000      -NaN
2022-01-12/00:48:15          0.000      -NaN
2022-01-12/00:48:45         0.5834     19.96
2022-01-12/00:49:15          0.000      -NaN
2022-01-12/00:49:45         0.8190     22.29
2022-01-12/00:50:15          1.169     13.95
2022-01-12/00:50:45          0.000      -NaN
2022-01-12/00:51:15          0.000      -NaN
2022-01-12/00:51:45         0.7957     10.73
2022-01-12/00:52:15          0.000      -NaN
2022-01-12/00:52:45          11.10     9.250
2022-01-12/00:53:15          15.29     15.19
2022-01-12/00:53:45          44.13     15.46
2022-01-12/00:54:15          47.90     22.73
2022-01-12/00:54:45          77.33     17.54
2022-01-12/00:55:15          89.15     25.67
2022-01-12/00:55:45          98.62     29.43
2022-01-12/00:56:15          116.5     25.03
2022-01-12/00:56:45          113.6     29.26
2022-01-12/00:57:15          46.15     20.75
2022-01-12/00:57:45          103.0     26.04
2022-01-12/00:58:15          72.91     25.98
2022-01-12/00:58:45          28.17     17.47
2022-01-12/00:59:15          77.09     31.24
2022-01-12/00:59:45          135.2     20.82
2022-01-12/01:00:15          14.68     21.61
2022-01-12/01:00:45          45.27     28.56
2022-01-12/01:01:15          85.18     53.97
2022-01-12/01:01:45          0.000      -NaN
2022-01-12/01:02:15          8.945     52.81
2022-01-12/01:02:45          6.695     43.71
2022-01-12/01:03:15          19.13     16.97
2022-01-12/01:03:45          18.81     20.29
2022-01-12/01:04:15          97.28     16.14
2022-01-12/01:04:45          174.4     31.46
2022-01-12/01:05:15          4.076     8.806
2022-01-12/01:05:45          9.822     8.952
2022-01-12/01:06:15          48.78     19.39
2022-01-12/01:06:45          43.35     17.52
2022-01-12/01:07:15          63.77     17.99
2022-01-12/01:07:45          23.84     19.94
2022-01-12/01:08:15          20.64     16.02
2022-01-12/01:08:45          29.98     18.03
2022-01-12/01:09:15          35.03     28.81
2022-01-12/01:09:45          34.36     25.47
2022-01-12/01:10:15          74.58     43.91
2022-01-12/01:10:45          34.23     26.42
2022-01-12/01:11:15          36.82     20.55
2022-01-12/01:11:45          40.25     12.95
2022-01-12/01:12:15          38.94     16.28
2022-01-12/01:12:45          28.25     29.05
2022-01-12/01:13:15          21.86     32.88
2022-01-12/01:13:45          18.73     44.83
2022-01-12/01:14:15          28.82     27.30
2022-01-12/01:14:45          33.35     27.34
2022-01-12/01:15:15          33.15     23.18
2022-01-12/01:15:45          33.24     28.70
2022-01-12/01:16:15          33.86     15.30
2022-01-12/01:16:45          49.33     31.22
2022-01-12/01:17:15          40.53     27.85
2022-01-12/01:17:45          42.61     28.12
2022-01-12/01:18:15          53.02     26.03
2022-01-12/01:18:45          48.20     24.69
2022-01-12/01:19:15          61.39     26.29
2022-01-12/01:19:45          73.13     24.68
2022-01-12/01:20:15          63.68     31.20
2022-01-12/01:20:45          66.59     35.62
2022-01-12/01:21:15          67.19     33.86
2022-01-12/01:21:45          45.33     24.85
2022-01-12/01:22:15          35.43     17.14
2022-01-12/01:22:45          56.65     13.66
2022-01-12/01:23:15          59.92     14.14
2022-01-12/01:23:45          72.57     15.48
2022-01-12/01:24:15          72.46     15.60
2022-01-12/01:24:45          117.4     14.18
2022-01-12/01:25:15          119.8     14.89
2022-01-12/01:25:45          113.0     14.47
2022-01-12/01:26:15          111.7     12.40
2022-01-12/01:26:45          118.3     13.05
2022-01-12/01:27:15          114.1     12.07
2022-01-12/01:27:45          125.3     13.81
2022-01-12/01:28:15          156.0     14.48
2022-01-12/01:28:45          205.8     18.07
2022-01-12/01:29:15          163.7     14.66
2022-01-12/01:29:45          197.7     17.69
2022-01-12/01:30:15          136.7     13.52
2022-01-12/01:30:45          174.3     15.61
2022-01-12/01:31:15          169.3     15.21
2022-01-12/01:31:45          203.9     15.61
2022-01-12/01:32:15          226.8     18.23
2022-01-12/01:32:45          110.0     11.09
2022-01-12/01:33:15          104.5     12.12
2022-01-12/01:33:45          120.7     13.02
2022-01-12/01:34:15          175.1     14.67
2022-01-12/01:34:45          202.3     16.83
2022-01-12/01:35:15          192.0     17.03
2022-01-12/01:35:45          144.4     16.82
2022-01-12/01:36:15          152.3     15.21
2022-01-12/01:36:45          80.91     18.09
2022-01-12/01:37:15          117.4     17.75
2022-01-12/01:37:45          222.8     20.11
2022-01-12/01:38:15          206.4     19.48
2022-01-12/01:38:45          83.21     27.84
2022-01-12/01:39:15          89.16     26.28
2022-01-12/01:39:45          113.1     28.38
2022-01-12/01:40:15          60.17     18.57
2022-01-12/01:40:45          34.92     9.694
2022-01-12/01:41:15          19.39     12.68
2022-01-12/01:41:45          21.10     9.731
2022-01-12/01:42:15          26.16     15.99
2022-01-12/01:42:45          38.98     12.31
2022-01-12/01:43:15          26.81     19.87
2022-01-12/01:43:45          25.95     20.23
2022-01-12/01:44:15          40.67     24.29
2022-01-12/01:44:45          10.87     10.29
2022-01-12/01:45:15          20.48     20.17
2022-01-12/01:45:45          9.653     17.19
2022-01-12/01:46:15          0.000      -NaN
2022-01-12/01:46:45          0.000      -NaN
2022-01-12/01:47:15          0.000      -NaN
2022-01-12/01:47:45          0.000      -NaN
2022-01-12/01:48:15          0.000      -NaN
2022-01-12/01:48:45          0.000      -NaN
2022-01-12/01:49:15          0.000      -NaN
2022-01-12/01:49:45          6.403     7.981
