Time                             Mshell         energy           flux
2022-01-12/00:04:15          12.01     30.75 1.648e+10
2022-01-12/00:04:15          12.01     32.42 1.572e+10
2022-01-12/00:04:15          12.01     41.27 1.208e+10
2022-01-12/00:04:15          12.01     52.00 9.226e+09
2022-01-12/00:04:15          12.01     64.81 6.988e+09
2022-01-12/00:04:15          12.01     80.88 4.944e+09
2022-01-12/00:04:15          12.01     100.5 3.622e+09
2022-01-12/00:04:15          12.01     125.6 2.557e+09
2022-01-12/00:04:15          12.01     156.5 1.812e+09
2022-01-12/00:04:15          12.01     195.0 1.249e+09
2022-01-12/00:04:15          12.01     243.2 8.574e+08
2022-01-12/00:04:15          12.01     303.0 6.083e+08
2022-01-12/00:04:15          12.01     377.6 4.308e+08
2022-01-12/00:04:15          12.01     470.0 3.057e+08
2022-01-12/00:04:15          12.01     585.5 2.243e+08
2022-01-12/00:04:15          12.01     729.1 1.659e+08
2022-01-12/00:04:15          12.01     907.8 1.267e+08
2022-01-12/00:04:15          12.01     1129. 1.013e+08
2022-01-12/00:04:15          12.01     1406. 7.561e+07
2022-01-12/00:04:15          12.01     1751. 5.630e+07
2022-01-12/00:04:15          12.01     2180. 4.300e+07
2022-01-12/00:04:15          12.01     2715. 3.062e+07
2022-01-12/00:04:15          12.01     3375. 2.418e+07
2022-01-12/00:04:15          12.01     4202. 1.858e+07
2022-01-12/00:04:15          12.01     5232. 1.441e+07
2022-01-12/00:04:15          12.01     6521. 1.072e+07
2022-01-12/00:04:15          12.01     8126. 8.416e+06
2022-01-12/00:04:15          12.01 1.011e+04 6.364e+06
2022-01-12/00:04:15          12.01 1.259e+04 4.852e+06
2022-01-12/00:04:15          12.01 1.568e+04 3.873e+06
2022-01-12/00:04:15          12.01 1.953e+04 2.916e+06
2022-01-12/00:04:15          12.01 2.432e+04 2.482e+06
2022-01-12/00:04:15          12.01 3.923e+04 2.184e+06
2022-01-12/00:04:15          12.01 4.673e+04 1.620e+06
2022-01-12/00:04:15          12.01 5.630e+04 1.213e+06
2022-01-12/00:04:15          12.01 6.784e+04 9.108e+05
2022-01-12/00:04:15          12.01 8.177e+04 6.723e+05
2022-01-12/00:04:15          12.01 9.836e+04 5.086e+05
2022-01-12/00:04:15          12.01 1.186e+05 3.919e+05
2022-01-12/00:04:15          12.01 1.429e+05 3.238e+05
2022-01-12/00:04:15          12.01 1.718e+05 2.399e+05
2022-01-12/00:04:15          12.01 2.067e+05 1.629e+05
2022-01-12/00:04:15          12.01 2.476e+05 1.084e+05
2022-01-12/00:04:15          12.01 2.959e+05 7.345e+04
2022-01-12/00:04:15          12.01 3.532e+05 4.641e+04
2022-01-12/00:04:15          12.01 4.215e+05 3.315e+04
2022-01-12/00:04:15          12.01 5.042e+05 2.235e+04
2022-01-12/00:04:15          12.01 6.054e+05 1.584e+04
2022-01-12/00:04:15          12.01 7.318e+05 1.282e+04
2022-01-12/00:04:15          12.01 9.723e+05 1.028e+04
2022-01-12/00:04:45          12.00     30.75 1.648e+10
2022-01-12/00:04:45          12.00     32.42 1.572e+10
2022-01-12/00:04:45          12.00     41.27 1.208e+10
2022-01-12/00:04:45          12.00     52.00 9.226e+09
2022-01-12/00:04:45          12.00     64.81 6.988e+09
2022-01-12/00:04:45          12.00     80.88 4.944e+09
2022-01-12/00:04:45          12.00     100.5 3.622e+09
2022-01-12/00:04:45          12.00     125.6 2.557e+09
2022-01-12/00:04:45          12.00     156.5 1.812e+09
2022-01-12/00:04:45          12.00     195.0 1.249e+09
2022-01-12/00:04:45          12.00     243.2 8.574e+08
2022-01-12/00:04:45          12.00     303.0 6.083e+08
