Time                    Mshell    R         MagLat    MLT       
     2022-01-12/00:04:00     12.01     11.76     6.110     19.99
     2022-01-12/00:04:10     12.01     11.76     6.098     19.99
     2022-01-12/00:04:20     12.00     11.76     6.086     19.99
     2022-01-12/00:04:30     12.00     11.76     6.074     19.99
     2022-01-12/00:04:40     12.00     11.75     6.062     19.99
     2022-01-12/00:04:50     11.99     11.75     6.050     19.99
     2022-01-12/00:05:00     11.99     11.75     6.038     19.99
     2022-01-12/00:05:10     11.99     11.75     6.026     19.99
     2022-01-12/00:05:20     11.98     11.74     6.014     19.99
     2022-01-12/00:05:30     11.98     11.74     6.002     19.99
     2022-01-12/00:05:40     11.98     11.74     5.990     19.99
     2022-01-12/00:05:50     11.97     11.74     5.978     19.99
     2022-01-12/00:06:00     11.97     11.74     5.966     19.99
     2022-01-12/00:06:10     11.97     11.73     5.954     19.99
     2022-01-12/00:06:20     11.96     11.73     5.941     19.99
     2022-01-12/00:06:30     11.96     11.73     5.929     19.99
     2022-01-12/00:06:40     11.96     11.73     5.917     19.99
     2022-01-12/00:06:50     11.95     11.73     5.905     19.99
     2022-01-12/00:07:00     11.95     11.72     5.893     19.99
     2022-01-12/00:07:10     11.95     11.72     5.880     19.99
     2022-01-12/00:07:20     11.94     11.72     5.868     19.99
     2022-01-12/00:07:30     11.94     11.72     5.856     19.99
     2022-01-12/00:07:40     11.94     11.71     5.844     19.99
     2022-01-12/00:07:50     11.94     11.71     5.831     19.99
     2022-01-12/00:08:00     11.93     11.71     5.819     19.99
     2022-01-12/00:08:10     11.93     11.71     5.807     19.99
     2022-01-12/00:08:20     11.93     11.71     5.794     19.99
     2022-01-12/00:08:30     11.92     11.70     5.782     19.99
     2022-01-12/00:08:40     11.92     11.70     5.770     19.99
     2022-01-12/00:08:50     11.92     11.70     5.757     19.99
     2022-01-12/00:09:00     11.91     11.70     5.745     19.99
     2022-01-12/00:09:10     11.91     11.69     5.732     19.99
     2022-01-12/00:09:20     11.91     11.69     5.720     19.99
