Time                             Mshell         energy           flux
2022-01-12/00:45:15          12.09   0.03075     0.000
2022-01-12/00:45:15          12.09   0.03242     0.000
2022-01-12/00:45:15          12.09   0.04127     0.000
2022-01-12/00:45:15          12.09   0.05200     0.000
2022-01-12/00:45:15          12.09   0.06481     0.000
2022-01-12/00:45:15          12.09   0.08088     0.000
2022-01-12/00:45:15          12.09    0.1005     0.000
2022-01-12/00:45:15          12.09    0.1256     0.000
2022-01-12/00:45:15          12.09    0.1565     0.000
2022-01-12/00:45:15          12.09    0.1950     0.000
2022-01-12/00:45:15          12.09    0.2432     0.000
2022-01-12/00:45:15          12.09    0.3030     0.000
2022-01-12/00:45:15          12.09    0.3776     0.000
2022-01-12/00:45:15          12.09    0.4700     0.000
2022-01-12/00:45:15          12.09    0.5855     0.000
2022-01-12/00:45:15          12.09    0.7291     0.000
2022-01-12/00:45:15          12.09    0.9078     0.000
2022-01-12/00:45:15          12.09     1.129     0.000
2022-01-12/00:45:15          12.09     1.406     0.000
2022-01-12/00:45:15          12.09     1.751     0.000
2022-01-12/00:45:15          12.09     2.180     0.000
2022-01-12/00:45:15          12.09     2.715     0.000
2022-01-12/00:45:15          12.09     3.375     0.000
2022-01-12/00:45:15          12.09     4.202     0.000
2022-01-12/00:45:15          12.09     5.232     0.000
2022-01-12/00:45:15          12.09     6.521     0.000
2022-01-12/00:45:15          12.09     8.126     0.000
2022-01-12/00:45:15          12.09     10.11     0.000
2022-01-12/00:45:15          12.09     12.59     0.000
2022-01-12/00:45:15          12.09     15.68     0.000
2022-01-12/00:45:15          12.09     19.53     0.000
2022-01-12/00:45:15          12.09     24.32     0.000
2022-01-12/00:45:15          12.09     39.23     0.000
2022-01-12/00:45:15          12.09     46.73     0.000
2022-01-12/00:45:15          12.09     56.30     0.000
2022-01-12/00:45:15          12.09     67.84     0.000
2022-01-12/00:45:15          12.09     81.77     0.000
2022-01-12/00:45:15          12.09     98.36     0.000
2022-01-12/00:45:15          12.09     118.6     0.000
2022-01-12/00:45:15          12.09     142.9     0.000
2022-01-12/00:45:15          12.09     171.8     0.000
2022-01-12/00:45:15          12.09     206.7     0.000
2022-01-12/00:45:15          12.09     247.6     0.000
2022-01-12/00:45:15          12.09     295.9     0.000
2022-01-12/00:45:15          12.09     353.2     0.000
2022-01-12/00:45:15          12.09     421.5     0.000
2022-01-12/00:45:15          12.09     504.2     0.000
2022-01-12/00:45:15          12.09     605.4     0.000
2022-01-12/00:45:15          12.09     731.8     0.000
2022-01-12/00:45:15          12.09     972.3     0.000
2022-01-12/00:45:45          12.09   0.03075     0.000
2022-01-12/00:45:45          12.09   0.03242     0.000
2022-01-12/00:45:45          12.09   0.04127     0.000
2022-01-12/00:45:45          12.09   0.05200     0.000
2022-01-12/00:45:45          12.09   0.06481     0.000
2022-01-12/00:45:45          12.09   0.08088     0.000
2022-01-12/00:45:45          12.09    0.1005     0.000
2022-01-12/00:45:45          12.09    0.1256     0.000
2022-01-12/00:45:45          12.09    0.1565     0.000
2022-01-12/00:45:45          12.09    0.1950     0.000
2022-01-12/00:45:45          12.09    0.2432 2.818e+06
2022-01-12/00:45:45          12.09    0.3030 4.408e+06
2022-01-12/00:45:45          12.09    0.3776 3.961e+06
2022-01-12/00:45:45          12.09    0.4700 4.959e+06
2022-01-12/00:45:45          12.09    0.5855 6.018e+06
2022-01-12/00:45:45          12.09    0.7291 4.195e+06
2022-01-12/00:45:45          12.09    0.9078 3.307e+06
2022-01-12/00:45:45          12.09     1.129 2.817e+06
2022-01-12/00:45:45          12.09     1.406 1.872e+06
2022-01-12/00:45:45          12.09     1.751 1.180e+06
2022-01-12/00:45:45          12.09     2.180 9.435e+05
2022-01-12/00:45:45          12.09     2.715 1.396e+06
2022-01-12/00:45:45          12.09     3.375 1.301e+06
2022-01-12/00:45:45          12.09     4.202 7.111e+05
2022-01-12/00:45:45          12.09     5.232 4.787e+05
2022-01-12/00:45:45          12.09     6.521 3.283e+05
2022-01-12/00:45:45          12.09     8.126 2.320e+05
2022-01-12/00:45:45          12.09     10.11 1.415e+05
2022-01-12/00:45:45          12.09     12.59 1.677e+05
2022-01-12/00:45:45          12.09     15.68 1.110e+05
2022-01-12/00:45:45          12.09     19.53 8.301e+04
2022-01-12/00:45:45          12.09     24.32 6.195e+04
2022-01-12/00:45:45          12.09     39.23 1.526e+04
2022-01-12/00:45:45          12.09     46.73     9862.
2022-01-12/00:45:45          12.09     56.30     7395.
2022-01-12/00:45:45          12.09     67.84     5285.
2022-01-12/00:45:45          12.09     81.77     3597.
2022-01-12/00:45:45          12.09     98.36     3105.
2022-01-12/00:45:45          12.09     118.6     2486.
2022-01-12/00:45:45          12.09     142.9     2086.
2022-01-12/00:45:45          12.09     171.8     1697.
2022-01-12/00:45:45          12.09     206.7     1413.
2022-01-12/00:45:45          12.09     247.6     1198.
2022-01-12/00:45:45          12.09     295.9     805.4
2022-01-12/00:45:45          12.09     353.2     579.2
2022-01-12/00:45:45          12.09     421.5     525.5
2022-01-12/00:45:45          12.09     504.2     323.0
2022-01-12/00:45:45          12.09     605.4     177.1
2022-01-12/00:45:45          12.09     731.8     125.0
2022-01-12/00:45:45          12.09     972.3     92.99
2022-01-12/00:46:15          12.08   0.03075     0.000
2022-01-12/00:46:15          12.08   0.03242     0.000
2022-01-12/00:46:15          12.08   0.04127     0.000
2022-01-12/00:46:15          12.08   0.05200     0.000
2022-01-12/00:46:15          12.08   0.06481     0.000
2022-01-12/00:46:15          12.08   0.08088     0.000
