Time                       energy      ratio
2022-01-12/00:45:15        0.03075     0.000
2022-01-12/00:45:15        0.03242     0.000
2022-01-12/00:45:15        0.04127     0.000
2022-01-12/00:45:15        0.05200     0.000
2022-01-12/00:45:15        0.06481     0.000
2022-01-12/00:45:15        0.08088     0.000
2022-01-12/00:45:15         0.1005     0.000
2022-01-12/00:45:15         0.1256     0.000
2022-01-12/00:45:15         0.1565     0.000
2022-01-12/00:45:15         0.1950     0.000
2022-01-12/00:45:15         0.2432     0.000
2022-01-12/00:45:15         0.3030     0.000
2022-01-12/00:45:15         0.3776     0.000
2022-01-12/00:45:15         0.4700     0.000
2022-01-12/00:45:15         0.5855     0.000
2022-01-12/00:45:15         0.7291     0.000
2022-01-12/00:45:15         0.9078     0.000
2022-01-12/00:45:15          1.129     0.000
2022-01-12/00:45:15          1.406     0.000
2022-01-12/00:45:15          1.751     0.000
2022-01-12/00:45:15          2.180     0.000
2022-01-12/00:45:15          2.715     0.000
2022-01-12/00:45:15          3.375     0.000
2022-01-12/00:45:15          4.202     0.000
2022-01-12/00:45:15          5.232     0.000
2022-01-12/00:45:15          6.521     0.000
2022-01-12/00:45:15          8.126     0.000
2022-01-12/00:45:15          10.11     0.000
2022-01-12/00:45:15          12.59     0.000
2022-01-12/00:45:15          15.68     0.000
2022-01-12/00:45:15          19.53     0.000
2022-01-12/00:45:15          24.32     0.000
2022-01-12/00:45:15          39.23     0.000
2022-01-12/00:45:15          46.73     0.000
2022-01-12/00:45:15          56.30     0.000
2022-01-12/00:45:15          67.84     0.000
2022-01-12/00:45:15          81.77     0.000
2022-01-12/00:45:15          98.36     0.000
2022-01-12/00:45:15          118.6     0.000
2022-01-12/00:45:15          142.9     0.000
2022-01-12/00:45:15          171.8     0.000
2022-01-12/00:45:15          206.7     0.000
2022-01-12/00:45:15          247.6     0.000
2022-01-12/00:45:15          295.9     0.000
2022-01-12/00:45:15          353.2     0.000
2022-01-12/00:45:15          421.5     0.000
2022-01-12/00:45:15          504.2     0.000
2022-01-12/00:45:15          605.4     0.000
2022-01-12/00:45:15          731.8     0.000
2022-01-12/00:45:15          972.3     0.000
2022-01-12/00:45:45        0.03075     0.000
2022-01-12/00:45:45        0.03242     0.000
2022-01-12/00:45:45        0.04127     0.000
2022-01-12/00:45:45        0.05200     0.000
2022-01-12/00:45:45        0.06481     0.000
2022-01-12/00:45:45        0.08088     0.000
2022-01-12/00:45:45         0.1005     0.000
2022-01-12/00:45:45         0.1256     0.000
2022-01-12/00:45:45         0.1565     0.000
2022-01-12/00:45:45         0.1950     0.000
2022-01-12/00:45:45         0.2432   0.02545
2022-01-12/00:45:45         0.3030   0.06484
2022-01-12/00:45:45         0.3776   0.09858
2022-01-12/00:45:45         0.4700    0.1382
2022-01-12/00:45:45         0.5855    0.2658
2022-01-12/00:45:45         0.7291    0.3069
2022-01-12/00:45:45         0.9078    0.3017
2022-01-12/00:45:45          1.129    0.2788
2022-01-12/00:45:45          1.406    0.2446
2022-01-12/00:45:45          1.751    0.2055
2022-01-12/00:45:45          2.180    0.2904
2022-01-12/00:45:45          2.715    0.3765
2022-01-12/00:45:45          3.375    0.3439
2022-01-12/00:45:45          4.202    0.2955
2022-01-12/00:45:45          5.232    0.2443
2022-01-12/00:45:45          6.521    0.1938
2022-01-12/00:45:45          8.126    0.1557
2022-01-12/00:45:45          10.11    0.1223
2022-01-12/00:45:45          12.59    0.1185
2022-01-12/00:45:45          15.68   0.09879
2022-01-12/00:45:45          19.53   0.08376
2022-01-12/00:45:45          24.32   0.06807
2022-01-12/00:45:45          39.23   0.04283
2022-01-12/00:45:45          46.73   0.03621
2022-01-12/00:45:45          56.30   0.03012
2022-01-12/00:45:45          67.84   0.02477
2022-01-12/00:45:45          81.77   0.02004
2022-01-12/00:45:45          98.36   0.01759
2022-01-12/00:45:45          118.6   0.01503
2022-01-12/00:45:45          142.9   0.01273
2022-01-12/00:45:45          171.8   0.01065
2022-01-12/00:45:45          206.7  0.008748
2022-01-12/00:45:45          247.6  0.007432
2022-01-12/00:45:45          295.9  0.006748
2022-01-12/00:45:45          353.2  0.006030
2022-01-12/00:45:45          421.5  0.005290
2022-01-12/00:45:45          504.2  0.004663
2022-01-12/00:45:45          605.4  0.004131
2022-01-12/00:45:45          731.8  0.003661
2022-01-12/00:45:45          972.3  0.003055
2022-01-12/00:46:15        0.03075     0.000
2022-01-12/00:46:15        0.03242     0.000
2022-01-12/00:46:15        0.04127     0.000
2022-01-12/00:46:15        0.05200     0.000
2022-01-12/00:46:15        0.06481     0.000
2022-01-12/00:46:15        0.08088     0.000
