Time                             R       Lat       Lon
2022-01-12/00:05:00          11.75    0.5903     254.5
2022-01-12/00:05:10          11.75    0.5937     254.6
2022-01-12/00:05:20          11.74    0.5971     254.7
2022-01-12/00:05:30          11.74    0.6006     254.8
2022-01-12/00:05:40          11.74    0.6040     254.9
2022-01-12/00:05:50          11.74    0.6075     255.0
2022-01-12/00:06:00          11.74    0.6109     255.1
2022-01-12/00:06:10          11.73    0.6144     255.2
2022-01-12/00:06:20          11.73    0.6178     255.3
2022-01-12/00:06:30          11.73    0.6213     255.4
2022-01-12/00:06:40          11.73    0.6247     255.5
2022-01-12/00:06:50          11.73    0.6282     255.6
2022-01-12/00:07:00          11.72    0.6316     255.7
2022-01-12/00:07:10          11.72    0.6351     255.8
2022-01-12/00:07:20          11.72    0.6385     255.9
2022-01-12/00:07:30          11.72    0.6420     256.0
2022-01-12/00:07:40          11.71    0.6455     256.1
2022-01-12/00:07:50          11.71    0.6489     256.2
2022-01-12/00:08:00          11.71    0.6524     256.3
2022-01-12/00:08:10          11.71    0.6559     256.5
2022-01-12/00:08:20          11.71    0.6593     256.6
2022-01-12/00:08:30          11.70    0.6628     256.7
2022-01-12/00:08:40          11.70    0.6662     256.8
2022-01-12/00:08:50          11.70    0.6697     256.9
2022-01-12/00:09:00          11.70    0.6732     257.0
2022-01-12/00:09:10          11.69    0.6767     257.1
2022-01-12/00:09:20          11.69    0.6801     257.2
2022-01-12/00:09:30          11.69    0.6836     257.3
2022-01-12/00:09:40          11.69    0.6871     257.4
2022-01-12/00:09:50          11.69    0.6906     257.5
2022-01-12/00:10:00          11.68    0.6940     257.6
2022-01-12/00:10:10          11.68    0.6975     257.7
2022-01-12/00:10:20          11.68    0.7010     257.8
2022-01-12/00:10:30          11.68    0.7045     257.9
2022-01-12/00:10:40          11.68    0.7080     258.0
2022-01-12/00:10:50          11.67    0.7114     258.1
2022-01-12/00:11:00          11.67    0.7149     258.2
2022-01-12/00:11:10          11.67    0.7184     258.3
2022-01-12/00:11:20          11.67    0.7219     258.4
2022-01-12/00:11:30          11.66    0.7254     258.5
2022-01-12/00:11:40          11.66    0.7289     258.6
2022-01-12/00:11:50          11.66    0.7324     258.7
2022-01-12/00:12:00          11.66    0.7359     258.8
2022-01-12/00:12:10          11.66    0.7394     258.9
2022-01-12/00:12:20          11.65    0.7429     259.0
2022-01-12/00:12:30          11.65    0.7464     259.1
2022-01-12/00:12:40          11.65    0.7499     259.2
2022-01-12/00:12:50          11.65    0.7534     259.3
2022-01-12/00:13:00          11.64    0.7569     259.4
2022-01-12/00:13:10          11.64    0.7604     259.5
2022-01-12/00:13:20          11.64    0.7639     259.6
2022-01-12/00:13:30          11.64    0.7674     259.7
2022-01-12/00:13:40          11.64    0.7709     259.8
2022-01-12/00:13:50          11.63    0.7744     259.9
2022-01-12/00:14:00          11.63    0.7779     260.0
2022-01-12/00:14:10          11.63    0.7814     260.1
2022-01-12/00:14:20          11.63    0.7849     260.2
2022-01-12/00:14:30          11.62    0.7884     260.3
2022-01-12/00:14:40          11.62    0.7919     260.4
2022-01-12/00:14:50          11.62    0.7955     260.5
2022-01-12/00:15:00          11.62    0.7990     260.6
2022-01-12/00:15:10          11.62    0.8025     260.7
2022-01-12/00:15:20          11.61    0.8060     260.8
2022-01-12/00:15:30          11.61    0.8095     260.9
2022-01-12/00:15:40          11.61    0.8131     261.0
2022-01-12/00:15:50          11.61    0.8166     261.1
2022-01-12/00:16:00          11.61    0.8201     261.2
2022-01-12/00:16:10          11.60    0.8236     261.3
2022-01-12/00:16:20          11.60    0.8272     261.4
2022-01-12/00:16:30          11.60    0.8307     261.5
2022-01-12/00:16:40          11.60    0.8342     261.6
2022-01-12/00:16:50          11.59    0.8377     261.7
2022-01-12/00:17:00          11.59    0.8413     261.8
2022-01-12/00:17:10          11.59    0.8448     261.9
2022-01-12/00:17:20          11.59    0.8483     262.0
2022-01-12/00:17:30          11.59    0.8519     262.1
2022-01-12/00:17:40          11.58    0.8554     262.2
2022-01-12/00:17:50          11.58    0.8590     262.3
2022-01-12/00:18:00          11.58    0.8625     262.4
2022-01-12/00:18:10          11.58    0.8660     262.5
2022-01-12/00:18:20          11.57    0.8696     262.6
2022-01-12/00:18:30          11.57    0.8731     262.7
2022-01-12/00:18:40          11.57    0.8767     262.8
2022-01-12/00:18:50          11.57    0.8802     262.9
2022-01-12/00:19:00          11.57    0.8838     263.0
2022-01-12/00:19:10          11.56    0.8873     263.1
2022-01-12/00:19:20          11.56    0.8909     263.2
2022-01-12/00:19:30          11.56    0.8944     263.3
2022-01-12/00:19:40          11.56    0.8980     263.4
2022-01-12/00:19:50          11.56    0.9015     263.5
2022-01-12/00:20:00          11.55    0.9051     263.6
2022-01-12/00:20:10          11.55    0.9087     263.7
2022-01-12/00:20:20          11.55    0.9122     263.8
2022-01-12/00:20:30          11.55    0.9158     263.9
2022-01-12/00:20:40          11.54    0.9193     264.0
2022-01-12/00:20:50          11.54    0.9229     264.1
2022-01-12/00:21:00          11.54    0.9265     264.3
2022-01-12/00:21:10          11.54    0.9300     264.4
2022-01-12/00:21:20          11.54    0.9336     264.5
2022-01-12/00:21:30          11.53    0.9372     264.6
2022-01-12/00:21:40          11.53    0.9407     264.7
2022-01-12/00:21:50          11.53    0.9443     264.8
2022-01-12/00:22:00          11.53    0.9479     264.9
2022-01-12/00:22:10          11.52    0.9515     265.0
2022-01-12/00:22:20          11.52    0.9550     265.1
2022-01-12/00:22:30          11.52    0.9586     265.2
2022-01-12/00:22:40          11.52    0.9622     265.3
2022-01-12/00:22:50          11.52    0.9658     265.4
2022-01-12/00:23:00          11.51    0.9694     265.5
2022-01-12/00:23:10          11.51    0.9729     265.6
2022-01-12/00:23:20          11.51    0.9765     265.7
2022-01-12/00:23:30          11.51    0.9801     265.8
2022-01-12/00:23:40          11.50    0.9837     265.9
2022-01-12/00:23:50          11.50    0.9873     266.0
2022-01-12/00:24:00          11.50    0.9909     266.1
2022-01-12/00:24:10          11.50    0.9945     266.2
2022-01-12/00:24:20          11.50    0.9981     266.3
2022-01-12/00:24:30          11.49     1.002     266.4
2022-01-12/00:24:40          11.49     1.005     266.5
2022-01-12/00:24:50          11.49     1.009     266.6
2022-01-12/00:25:00          11.49     1.012     266.7
2022-01-12/00:25:10          11.48     1.016     266.8
2022-01-12/00:25:20          11.48     1.020     266.9
2022-01-12/00:25:30          11.48     1.023     267.0
2022-01-12/00:25:40          11.48     1.027     267.1
2022-01-12/00:25:50          11.48     1.030     267.2
2022-01-12/00:26:00          11.47     1.034     267.3
2022-01-12/00:26:10          11.47     1.038     267.4
2022-01-12/00:26:20          11.47     1.041     267.5
2022-01-12/00:26:30          11.47     1.045     267.6
2022-01-12/00:26:40          11.47     1.048     267.7
2022-01-12/00:26:50          11.46     1.052     267.8
2022-01-12/00:27:00          11.46     1.056     267.9
2022-01-12/00:27:10          11.46     1.059     268.0
2022-01-12/00:27:20          11.46     1.063     268.1
2022-01-12/00:27:30          11.45     1.067     268.2
2022-01-12/00:27:40          11.45     1.070     268.3
2022-01-12/00:27:50          11.45     1.074     268.4
2022-01-12/00:28:00          11.45     1.077     268.5
2022-01-12/00:28:10          11.45     1.081     268.6
2022-01-12/00:28:20          11.44     1.085     268.7
2022-01-12/00:28:30          11.44     1.088     268.8
2022-01-12/00:28:40          11.44     1.092     268.9
2022-01-12/00:28:50          11.44     1.096     269.0
2022-01-12/00:29:00          11.43     1.099     269.1
2022-01-12/00:29:10          11.43     1.103     269.2
2022-01-12/00:29:20          11.43     1.106     269.3
2022-01-12/00:29:30          11.43     1.110     269.4
2022-01-12/00:29:40          11.43     1.114     269.5
2022-01-12/00:29:50          11.42     1.117     269.6
2022-01-12/00:30:00          11.42     1.121     269.7
2022-01-12/00:30:10          11.42     1.125     269.8
2022-01-12/00:30:20          11.42     1.128     269.9
2022-01-12/00:30:30          11.41     1.132     270.0
2022-01-12/00:30:40          11.41     1.136     270.1
2022-01-12/00:30:50          11.41     1.139     270.2
2022-01-12/00:31:00          11.41     1.143     270.3
2022-01-12/00:31:10          11.41     1.147     270.4
2022-01-12/00:31:20          11.40     1.150     270.5
2022-01-12/00:31:30          11.40     1.154     270.6
2022-01-12/00:31:40          11.40     1.157     270.7
2022-01-12/00:31:50          11.40     1.161     270.8
2022-01-12/00:32:00          11.39     1.165     270.9
2022-01-12/00:32:10          11.39     1.168     271.0
2022-01-12/00:32:20          11.39     1.172     271.1
2022-01-12/00:32:30          11.39     1.176     271.2
2022-01-12/00:32:40          11.39     1.179     271.3
2022-01-12/00:32:50          11.38     1.183     271.4
2022-01-12/00:33:00          11.38     1.187     271.5
2022-01-12/00:33:10          11.38     1.190     271.6
2022-01-12/00:33:20          11.38     1.194     271.7
2022-01-12/00:33:30          11.38     1.198     271.8
2022-01-12/00:33:40          11.37     1.201     272.0
2022-01-12/00:33:50          11.37     1.205     272.1
2022-01-12/00:34:00          11.37     1.209     272.2
2022-01-12/00:34:10          11.37     1.212     272.3
2022-01-12/00:34:20          11.36     1.216     272.4
2022-01-12/00:34:30          11.36     1.220     272.5
2022-01-12/00:34:40          11.36     1.223     272.6
2022-01-12/00:34:50          11.36     1.227     272.7
2022-01-12/00:35:00          11.36     1.231     272.8
2022-01-12/00:35:10          11.35     1.235     272.9
2022-01-12/00:35:20          11.35     1.238     273.0
2022-01-12/00:35:30          11.35     1.242     273.1
2022-01-12/00:35:40          11.35     1.246     273.2
2022-01-12/00:35:50          11.34     1.249     273.3
2022-01-12/00:36:00          11.34     1.253     273.4
2022-01-12/00:36:10          11.34     1.257     273.5
2022-01-12/00:36:20          11.34     1.260     273.6
2022-01-12/00:36:30          11.34     1.264     273.7
2022-01-12/00:36:40          11.33     1.268     273.8
2022-01-12/00:36:50          11.33     1.271     273.9
2022-01-12/00:37:00          11.33     1.275     274.0
2022-01-12/00:37:10          11.33     1.279     274.1
2022-01-12/00:37:20          11.32     1.283     274.2
2022-01-12/00:37:30          11.32     1.286     274.3
2022-01-12/00:37:40          11.32     1.290     274.4
2022-01-12/00:37:50          11.32     1.294     274.5
2022-01-12/00:38:00          11.32     1.297     274.6
2022-01-12/00:38:10          11.31     1.301     274.7
2022-01-12/00:38:20          11.31     1.305     274.8
2022-01-12/00:38:30          11.31     1.308     274.9
2022-01-12/00:38:40          11.31     1.312     275.0
2022-01-12/00:38:50          11.30     1.316     275.1
2022-01-12/00:39:00          11.30     1.320     275.2
2022-01-12/00:39:10          11.30     1.323     275.3
2022-01-12/00:39:20          11.30     1.327     275.4
2022-01-12/00:39:30          11.30     1.331     275.5
2022-01-12/00:39:40          11.29     1.335     275.6
2022-01-12/00:39:50          11.29     1.338     275.7
2022-01-12/00:40:00          11.29     1.342     275.8
2022-01-12/00:40:10          11.29     1.346     275.9
2022-01-12/00:40:20          11.28     1.349     276.0
2022-01-12/00:40:30          11.28     1.353     276.1
2022-01-12/00:40:40          11.28     1.357     276.2
2022-01-12/00:40:50          11.28     1.361     276.3
2022-01-12/00:41:00          11.28     1.364     276.4
2022-01-12/00:41:10          11.27     1.368     276.5
2022-01-12/00:41:20          11.27     1.372     276.6
2022-01-12/00:41:30          11.27     1.376     276.7
2022-01-12/00:41:40          11.27     1.379     276.8
2022-01-12/00:41:50          11.26     1.383     276.9
2022-01-12/00:42:00          11.26     1.387     277.0
2022-01-12/00:42:10          11.26     1.391     277.1
2022-01-12/00:42:20          11.26     1.394     277.2
2022-01-12/00:42:30          11.26     1.398     277.3
2022-01-12/00:42:40          11.25     1.402     277.4
2022-01-12/00:42:50          11.25     1.406     277.5
2022-01-12/00:43:00          11.25     1.409     277.6
2022-01-12/00:43:10          11.25     1.413     277.7
2022-01-12/00:43:20          11.24     1.417     277.8
2022-01-12/00:43:30          11.24     1.421     277.9
2022-01-12/00:43:40          11.24     1.424     278.0
2022-01-12/00:43:50          11.24     1.428     278.1
2022-01-12/00:44:00          11.24     1.432     278.2
2022-01-12/00:44:10          11.23     1.436     278.3
2022-01-12/00:44:20          11.23     1.439     278.4
2022-01-12/00:44:30          11.23     1.443     278.5
2022-01-12/00:44:40          11.23     1.447     278.6
2022-01-12/00:44:50          11.22     1.451     278.7
2022-01-12/00:45:00          11.22     1.454     278.8
2022-01-12/00:45:10          11.22     1.458     278.9
2022-01-12/00:45:20          11.22     1.462     279.0
2022-01-12/00:45:30          11.22     1.466     279.1
2022-01-12/00:45:40          11.21     1.470     279.2
2022-01-12/00:45:50          11.21     1.473     279.3
2022-01-12/00:46:00          11.21     1.477     279.4
2022-01-12/00:46:10          11.21     1.481     279.6
2022-01-12/00:46:20          11.20     1.485     279.7
2022-01-12/00:46:30          11.20     1.488     279.8
