Time                             R       Lat       Lon
2022-01-12/11:39:00          1.006    -75.30     141.1
2022-01-12/11:40:00          1.006    -75.76     141.8
2022-01-12/11:41:00          1.006    -76.21     142.6
2022-01-12/11:42:00          1.006    -76.65     143.3
2022-01-12/11:43:00          1.006    -77.08     144.0
2022-01-12/11:44:00          1.006    -77.50     144.8
2022-01-12/11:45:00          1.006    -77.91     145.6
2022-01-12/11:46:00          1.006    -78.31     146.3
2022-01-12/11:47:00          1.006    -78.69     147.1
2022-01-12/11:48:00          1.006    -79.07     147.9
2022-01-12/11:49:00          1.006    -79.44     148.8
2022-01-12/11:50:00          1.006    -79.80     149.6
2022-01-12/11:51:00          1.006    -80.15     150.5
