Time  Char_E  R  Lat  Lon
2022-01-12 11:39:15  148.5  1.006  -75.3  141.1
2022-01-12 11:39:45  142.3  1.006  -75.76  141.8
2022-01-12 11:40:15  135.5  1.006  -75.76  141.8
2022-01-12 11:40:45  130.3  1.006  -76.21  142.6
2022-01-12 11:41:15  127.5  1.006  -76.21  142.6
2022-01-12 11:41:45  132.1  1.006  -76.65  143.3
2022-01-12 11:42:15  131.4  1.006  -76.65  143.3
2022-01-12 11:42:45  122.8  1.006  -77.08  144.0
2022-01-12 11:43:15  121.3  1.006  -77.08  144.0
2022-01-12 11:43:45  128.3  1.006  -77.5  144.8
2022-01-12 11:44:15  139.5  1.006  -77.5  144.8
2022-01-12 11:44:45  131.1  1.006  -77.91  145.6
2022-01-12 11:45:15  130.9  1.006  -77.91  145.6
2022-01-12 11:45:45  135.6  1.006  -78.31  146.3
2022-01-12 11:46:15  140.4  1.006  -78.31  146.3
2022-01-12 11:46:45  151.5  1.006  -78.69  147.1
2022-01-12 11:47:15  149.7  1.006  -78.69  147.1
2022-01-12 11:47:45  147.7  1.006  -79.07  147.9
2022-01-12 11:48:15  139.5  1.006  -79.07  147.9
2022-01-12 11:48:45  140.3  1.006  -79.44  148.8
2022-01-12 11:49:15  133.2  1.006  -79.44  148.8
2022-01-12 11:49:45  139.5  1.006  -79.8  149.6
