Time                    Mshell    R         MagLat    MLT       
     2022-01-12/11:39:00     7.617     2.287    -54.73     6.175
     2022-01-12/11:39:10     7.666     2.291    -54.80     6.170
     2022-01-12/11:39:20     7.714     2.295    -54.86     6.166
     2022-01-12/11:39:30     7.763     2.299    -54.93     6.162
     2022-01-12/11:39:40     7.812     2.303    -55.00     6.158
     2022-01-12/11:39:50     7.861     2.307    -55.06     6.154
     2022-01-12/11:40:00     7.910     2.311    -55.13     6.150
     2022-01-12/11:40:10     7.962     2.315    -55.20     6.145
     2022-01-12/11:40:20     8.014     2.319    -55.26     6.141
     2022-01-12/11:40:30     8.065     2.323    -55.33     6.137
     2022-01-12/11:40:40     8.117     2.327    -55.39     6.133
     2022-01-12/11:40:50     8.169     2.331    -55.46     6.129
     2022-01-12/11:41:00     8.221     2.335    -55.52     6.125
     2022-01-12/11:41:10     8.276     2.339    -55.59     6.121
     2022-01-12/11:41:20     8.330     2.343    -55.65     6.117
     2022-01-12/11:41:30     8.385     2.347    -55.71     6.113
     2022-01-12/11:41:40     8.440     2.351    -55.78     6.109
     2022-01-12/11:41:50     8.495     2.355    -55.84     6.105
     2022-01-12/11:42:00     8.549     2.359    -55.90     6.101
     2022-01-12/11:42:10     8.607     2.363    -55.97     6.097
     2022-01-12/11:42:20     8.665     2.367    -56.03     6.093
     2022-01-12/11:42:30     8.723     2.371    -56.09     6.089
     2022-01-12/11:42:40     8.781     2.375    -56.15     6.085
     2022-01-12/11:42:50     8.839     2.379    -56.22     6.081
     2022-01-12/11:43:00     8.897     2.383    -56.28     6.077
     2022-01-12/11:43:10     8.959     2.387    -56.34     6.073
     2022-01-12/11:43:20     9.020     2.391    -56.40     6.069
     2022-01-12/11:43:30     9.082     2.395    -56.46     6.065
     2022-01-12/11:43:40     9.144     2.399    -56.52     6.061
     2022-01-12/11:43:50     9.205     2.403    -56.58     6.057
     2022-01-12/11:44:00     9.267     2.407    -56.64     6.053
     2022-01-12/11:44:10     9.332     2.411    -56.70     6.049
     2022-01-12/11:44:20     9.398     2.415    -56.76     6.045
     2022-01-12/11:44:30     9.464     2.419    -56.82     6.041
     2022-01-12/11:44:40     9.530     2.423    -56.88     6.037
     2022-01-12/11:44:50     9.595     2.427    -56.94     6.033
     2022-01-12/11:45:00     9.661     2.431    -57.00     6.030
     2022-01-12/11:45:10     9.731     2.435    -57.06     6.026
     2022-01-12/11:45:20     9.802     2.439    -57.12     6.022
     2022-01-12/11:45:30     9.872     2.443    -57.18     6.018
     2022-01-12/11:45:40     9.942     2.447    -57.23     6.014
     2022-01-12/11:45:50     10.01     2.451    -57.29     6.010
     2022-01-12/11:46:00     10.08     2.455    -57.35     6.007
     2022-01-12/11:46:10     10.16     2.459    -57.41     6.003
     2022-01-12/11:46:20     10.23     2.463    -57.47     5.999
     2022-01-12/11:46:30     10.31     2.467    -57.52     5.995
     2022-01-12/11:46:40     10.39     2.471    -57.58     5.991
     2022-01-12/11:46:50     10.46     2.475    -57.64     5.988
     2022-01-12/11:47:00     10.54     2.479    -57.69     5.984
     2022-01-12/11:47:10     10.62     2.483    -57.75     5.980
     2022-01-12/11:47:20     10.70     2.487    -57.81     5.976
     2022-01-12/11:47:30     10.78     2.491    -57.86     5.973
     2022-01-12/11:47:40     10.87     2.494    -57.92     5.969
     2022-01-12/11:47:50     10.95     2.498    -57.97     5.965
     2022-01-12/11:48:00     11.03     2.502    -58.03     5.962
     2022-01-12/11:48:10     11.12     2.506    -58.08     5.958
     2022-01-12/11:48:20     11.21     2.510    -58.14     5.954
     2022-01-12/11:48:30     11.30     2.514    -58.19     5.950
     2022-01-12/11:48:40     11.39     2.518    -58.25     5.947
     2022-01-12/11:48:50     11.48     2.522    -58.30     5.943
     2022-01-12/11:49:00     11.57     2.526    -58.36     5.940
     2022-01-12/11:49:10     11.66     2.530    -58.41     5.936
     2022-01-12/11:49:20     11.76     2.534    -58.47     5.932
     2022-01-12/11:49:30     11.86     2.538    -58.52     5.929
     2022-01-12/11:49:40     11.96     2.542    -58.57     5.925
     2022-01-12/11:49:50     12.05     2.546    -58.63     5.921
     2022-01-12/11:50:00     12.15     2.550    -58.68     5.918
