Time                        loss_s    loss_n
2022-01-12/11:39:02          14.04     169.0
2022-01-12/11:39:07          14.02     169.0
2022-01-12/11:39:12          14.00     169.0
2022-01-12/11:39:17          13.98     169.0
2022-01-12/11:39:22          13.96     169.0
2022-01-12/11:39:27          13.93     169.0
2022-01-12/11:39:32          13.91     169.0
2022-01-12/11:39:37          13.89     169.1
2022-01-12/11:39:42          13.87     169.1
2022-01-12/11:39:47          13.85     169.1
2022-01-12/11:39:52          13.82     169.1
2022-01-12/11:39:57          13.80     169.1
2022-01-12/11:40:02          13.78     169.1
2022-01-12/11:40:07          13.76     169.1
2022-01-12/11:40:12          13.74     169.2
2022-01-12/11:40:17          13.72     169.2
2022-01-12/11:40:22          13.70     169.2
2022-01-12/11:40:27          13.68     169.2
2022-01-12/11:40:32          13.65     169.2
2022-01-12/11:40:37          13.63     169.2
2022-01-12/11:40:42          13.61     169.2
2022-01-12/11:40:47          13.59     169.2
2022-01-12/11:40:52          13.57     169.3
2022-01-12/11:40:57          13.55     169.3
2022-01-12/11:41:02          13.53     169.3
2022-01-12/11:41:07          13.51     169.3
2022-01-12/11:41:12          13.49     169.3
2022-01-12/11:41:17          13.47     169.3
2022-01-12/11:41:22          13.45     169.3
2022-01-12/11:41:27          13.43     169.4
2022-01-12/11:41:32          13.41     169.4
2022-01-12/11:41:37          13.39     169.4
2022-01-12/11:41:42          13.37     169.4
2022-01-12/11:41:47          13.35     169.4
2022-01-12/11:41:52          13.33     169.4
2022-01-12/11:41:57          13.31     169.4
2022-01-12/11:42:02          13.29     169.5
2022-01-12/11:42:07          13.27     169.5
2022-01-12/11:42:12          13.25     169.5
2022-01-12/11:42:17          13.23     169.5
2022-01-12/11:42:22          13.21     169.5
2022-01-12/11:42:27          13.19     169.5
2022-01-12/11:42:32          13.17     169.5
2022-01-12/11:42:37          13.15     169.5
2022-01-12/11:42:42          13.13     169.6
2022-01-12/11:42:47          13.12     169.6
2022-01-12/11:42:52          13.10     169.6
2022-01-12/11:42:57          13.08     169.6
2022-01-12/11:43:02          13.06     169.6
2022-01-12/11:43:07          13.04     169.6
2022-01-12/11:43:12          13.02     169.6
2022-01-12/11:43:17          13.00     169.7
2022-01-12/11:43:22          12.98     169.7
2022-01-12/11:43:27          12.97     169.7
2022-01-12/11:43:32          12.95     169.7
2022-01-12/11:43:37          12.93     169.7
2022-01-12/11:43:42          12.91     169.7
2022-01-12/11:43:47          12.89     169.7
2022-01-12/11:43:52          12.87     169.7
2022-01-12/11:43:57          12.86     169.8
2022-01-12/11:44:02          12.84     169.8
2022-01-12/11:44:07          12.82     169.8
2022-01-12/11:44:12          12.80     169.8
2022-01-12/11:44:17          12.78     169.8
2022-01-12/11:44:22          12.77     169.8
2022-01-12/11:44:27          12.75     169.8
2022-01-12/11:44:32          12.73     169.8
2022-01-12/11:44:37          12.71     169.9
2022-01-12/11:44:42          12.69     169.9
2022-01-12/11:44:47          12.68     169.9
2022-01-12/11:44:52          12.66     169.9
2022-01-12/11:44:57          12.64     169.9
2022-01-12/11:45:02          12.62     169.9
2022-01-12/11:45:07          12.61     169.9
2022-01-12/11:45:12          12.59     169.9
2022-01-12/11:45:17          12.57     170.0
2022-01-12/11:45:22          12.56     170.0
2022-01-12/11:45:27          12.54     170.0
2022-01-12/11:45:32          12.52     170.0
2022-01-12/11:45:37          12.50     170.0
2022-01-12/11:45:42          12.49     170.0
2022-01-12/11:45:47          12.47     170.0
2022-01-12/11:45:52          12.45     170.1
2022-01-12/11:45:57          12.44     170.1
2022-01-12/11:46:02          12.42     170.1
2022-01-12/11:46:07          12.40     170.1
2022-01-12/11:46:12          12.39     170.1
2022-01-12/11:46:17          12.37     170.1
2022-01-12/11:46:22          12.35     170.1
2022-01-12/11:46:27          12.34     170.1
2022-01-12/11:46:32          12.32     170.1
2022-01-12/11:46:37          12.30     170.2
2022-01-12/11:46:42          12.29     170.2
2022-01-12/11:46:47          12.27     170.2
2022-01-12/11:46:52          12.25     170.2
2022-01-12/11:46:57          12.24     170.2
2022-01-12/11:47:02          12.22     170.2
2022-01-12/11:47:07          12.20     170.2
2022-01-12/11:47:12          12.19     170.2
2022-01-12/11:47:17          12.17     170.3
2022-01-12/11:47:22          12.16     170.3
2022-01-12/11:47:27          12.14     170.3
2022-01-12/11:47:32          12.12     170.3
2022-01-12/11:47:37          12.11     170.3
2022-01-12/11:47:42          12.09     170.3
2022-01-12/11:47:47          12.07     170.3
2022-01-12/11:47:52          12.06     170.3
2022-01-12/11:47:57          12.04     170.4
2022-01-12/11:48:02          12.03     170.4
2022-01-12/11:48:07          12.01     170.4
2022-01-12/11:48:12          12.00     170.4
2022-01-12/11:48:17          11.98     170.4
2022-01-12/11:48:22          11.96     170.4
2022-01-12/11:48:27          11.95     170.4
2022-01-12/11:48:32          11.93     170.4
2022-01-12/11:48:37          11.92     170.5
2022-01-12/11:48:42          11.90     170.5
2022-01-12/11:48:47          11.89     170.5
2022-01-12/11:48:52          11.87     170.5
2022-01-12/11:48:57          11.85     170.5
2022-01-12/11:49:02          11.84     170.5
2022-01-12/11:49:07          11.82     170.5
2022-01-12/11:49:12          11.81     170.5
2022-01-12/11:49:17          11.79     170.5
2022-01-12/11:49:22          11.78     170.6
2022-01-12/11:49:27          11.76     170.6
2022-01-12/11:49:32          11.75     170.6
2022-01-12/11:49:37          11.73     170.6
2022-01-12/11:49:42          11.72     170.6
2022-01-12/11:49:47          11.70     170.6
2022-01-12/11:49:52          11.69     170.6
2022-01-12/11:49:57          11.67     170.6
